player,year,age,team,league,war,games,plate_appearances,at_bats,runs,hits,doubles,triples,home_runs,runs_batted_in,stolen_bases,caught_stealing,walks,strikeouts,batting_average,on_base_percentage,slugging_percentage,on_base_plus_slugging,on_base_plus_slugging_plus,runs_above_base_average,rbat_plus,total_bases,double_plays,hit_by_puitch,sacrifice_bunts,sacrifice_flies,intentional_walks,awards
Tommy Pham,2024,36,CHW,AL,0.0,70,297,271,33,72,14,1,5,19,6,3,25,63,0.266,0.33,0.38,0.71,104.0,0.327,112.0,103,2,1,0,0,0,
Tommy Pham,2024,36,STL,NL,-0.4,23,77,68,7,14,3,1,2,12,0,0,7,16,0.206,0.286,0.368,0.653,82.0,0.285,77.0,25,2,1,0,1,0,
Tommy Pham,2024,36,KCR,AL,0.1,23,104,101,9,23,3,1,2,8,1,0,3,27,0.228,0.25,0.337,0.587,64.0,0.272,66.0,34,1,0,0,0,0,
Brandon Marsh,2024,26,PHI,NL,3.1,135,476,418,55,104,17,3,16,60,19,3,50,154,0.249,0.328,0.419,0.747,109.0,0.338,111.0,175,2,2,1,5,0,
Josh Rojas,2024,30,SEA,AL,2.2,142,476,422,48,95,19,2,8,31,10,4,46,108,0.225,0.304,0.336,0.641,91.0,0.289,92.0,142,6,3,1,2,1,
Mike Yastrzemski,2024,33,SFG,NL,2.1,140,474,428,60,99,16,9,18,57,3,2,38,124,0.231,0.302,0.437,0.739,110.0,0.317,108.0,187,5,6,1,1,1,
Tyler O'Neill,2024,29,BOS,AL,2.6,113,473,411,74,99,18,0,31,61,4,0,53,159,0.241,0.336,0.511,0.847,132.0,0.365,131.0,210,13,7,0,2,5,
Jeff McNeil,2024,32,NYM,NL,1.6,129,472,424,57,101,26,0,12,44,5,1,35,68,0.238,0.308,0.384,0.692,97.0,0.308,98.0,163,6,9,1,3,1,
Michael Harris II,2024,23,ATL,NL,3.2,110,470,440,58,116,14,3,16,48,10,6,23,94,0.264,0.304,0.418,0.722,99.0,0.32,102.0,184,6,4,0,3,1,
Ha-Seong Kim,2024,28,SDP,NL,2.6,121,470,403,60,94,16,3,11,47,22,5,58,77,0.233,0.33,0.37,0.7,96.0,0.318,96.0,149,8,2,4,3,4,
Jorge Polanco,2024,30,SEA,AL,1.3,118,469,417,43,89,11,0,16,45,4,2,46,137,0.213,0.296,0.355,0.651,93.0,0.294,96.0,148,16,4,0,2,3,
Austin Riley,2024,27,ATL,NL,2.9,110,469,425,63,109,26,2,19,56,0,0,37,118,0.256,0.322,0.461,0.783,115.0,0.343,117.0,196,6,5,0,2,0,
Ryan Jeffers,2024,27,MIN,AL,2.1,122,465,412,56,93,22,0,21,64,3,0,32,94,0.226,0.3,0.432,0.732,103.0,0.322,103.0,178,9,14,1,6,0,
Xander Bogaerts,2024,31,SDP,NL,1.2,111,463,428,50,113,15,1,11,44,13,3,28,79,0.264,0.307,0.381,0.688,92.0,0.307,90.0,163,13,1,0,6,0,
Jeimer Candelario,2024,30,CIN,NL,-0.7,112,463,427,47,96,23,2,20,56,4,3,27,114,0.225,0.279,0.429,0.707,90.0,0.306,87.0,183,7,6,0,3,1,
Mark Canha,2024,35,2TM,2LG,0.6,125,462,393,46,95,20,0,7,42,7,0,51,96,0.242,0.344,0.346,0.69,99.0,0.321,104.0,136,10,13,0,5,2,
Mark Canha,2024,35,DET,AL,0.6,93,377,320,42,74,17,0,7,38,4,0,42,79,0.231,0.337,0.35,0.687,97.0,0.32,103.0,112,9,11,0,4,2,
Mark Canha,2024,35,SFG,NL,0.0,32,85,73,4,21,3,0,0,4,3,0,9,17,0.288,0.376,0.329,0.705,107.0,0.326,108.0,24,1,2,0,1,0,
Gio Urshela,2024,32,2TM,2LG,0.7,128,461,432,34,108,19,1,9,52,0,0,23,72,0.25,0.286,0.361,0.647,82.0,0.29,82.0,156,13,1,0,5,1,
Gio Urshela,2024,32,DET,AL,-0.3,92,325,300,25,73,10,1,5,37,0,0,19,49,0.243,0.286,0.333,0.619,76.0,0.284,79.0,100,12,1,0,5,1,
Gio Urshela,2024,32,ATL,NL,1.0,36,136,132,9,35,9,0,4,15,0,0,4,23,0.265,0.287,0.424,0.711,95.0,0.304,89.0,56,1,0,0,0,0,
Max Schuemann,2024,27,OAK,AL,0.8,133,459,396,55,87,14,0,7,34,14,1,47,119,0.22,0.311,0.308,0.619,82.0,0.292,86.0,122,8,7,5,4,0,
Giancarlo Stanton,2024,34,NYY,AL,0.7,114,459,417,49,97,20,0,27,72,0,0,38,143,0.233,0.298,0.475,0.773,115.0,0.33,112.0,198,17,2,0,2,2,
Michael Toglia,2024,25,COL,NL,2.2,116,458,399,62,87,14,3,25,55,10,1,54,147,0.218,0.311,0.456,0.767,105.0,0.334,102.0,182,7,1,0,3,2,
Luke Raley,2024,29,SEA,AL,3.2,137,455,404,58,98,19,2,22,58,11,2,27,135,0.243,0.32,0.463,0.783,129.0,0.346,131.0,187,2,20,2,2,0,
Davis Schneider,2024,25,TOR,AL,0.0,135,454,397,48,76,19,1,13,46,6,0,47,144,0.191,0.282,0.343,0.625,78.0,0.28,76.0,136,2,5,0,5,0,
Mark Vientos,2024,24,NYM,NL,3.1,111,454,413,58,110,22,0,27,71,0,0,33,135,0.266,0.322,0.516,0.837,135.0,0.361,137.0,213,6,3,0,5,0,
Ernie Clement,2024,28,TOR,AL,3.4,139,452,434,48,114,21,3,12,51,12,3,11,41,0.263,0.284,0.408,0.692,95.0,0.317,102.0,177,11,3,2,2,1,
Jo Adell,2024,25,LAA,AL,0.9,130,451,405,54,84,15,2,20,62,15,10,35,126,0.207,0.28,0.402,0.682,91.0,0.297,90.0,163,9,7,0,3,1,
Lawrence Butler,2024,23,OAK,AL,3.0,125,451,412,63,108,24,2,22,57,18,0,35,108,0.262,0.317,0.49,0.807,131.0,0.357,130.0,202,8,0,0,4,0,
J.P. Crawford,2024,29,SEA,AL,2.7,105,451,392,55,79,16,2,9,37,5,0,52,102,0.202,0.304,0.321,0.625,86.0,0.286,89.0,126,4,6,0,1,0,
MJ Melendez,2024,25,KCR,AL,-0.9,135,451,412,44,85,23,3,17,44,4,4,35,113,0.206,0.273,0.4,0.674,87.0,0.29,83.0,165,3,3,0,0,1,
Jarred Kelenic,2024,24,ATL,NL,0.4,131,449,412,49,95,18,2,15,45,7,2,32,133,0.231,0.286,0.393,0.679,87.0,0.301,86.0,162,5,1,1,3,1,
Joc Pederson,2024,32,ARI,NL,2.9,132,449,367,62,101,17,1,23,64,7,4,55,105,0.275,0.393,0.515,0.908,151.0,0.388,151.0,189,5,18,1,3,2,
Patrick Bailey,2024,25,SFG,NL,1.8,121,448,401,46,94,16,1,8,46,4,0,39,100,0.234,0.298,0.339,0.637,84.0,0.286,84.0,136,10,0,1,7,0,GG
Jose Siri,2024,28,TBR,AL,1.8,130,448,402,50,75,16,1,18,47,14,7,31,170,0.187,0.255,0.366,0.62,76.0,0.272,73.0,147,5,7,2,4,0,
Wilyer Abreu,2024,25,BOS,AL,3.4,132,447,399,59,101,33,2,15,58,8,3,40,125,0.253,0.322,0.459,0.781,114.0,0.339,112.0,183,7,3,0,5,0,ROY-6GG
Jordan Westburg,2024,25,BAL,AL,2.4,107,447,416,57,110,26,5,18,63,6,3,22,97,0.264,0.312,0.481,0.792,129.0,0.34,127.0,200,5,7,1,1,0,AS
Jared Triolo,2024,26,PIT,NL,1.3,125,446,394,41,85,10,1,9,46,8,1,42,118,0.216,0.296,0.315,0.611,71.0,0.286,74.0,124,5,5,0,5,0,GG
Nicky Lopez,2024,29,CHW,AL,0.2,124,445,398,40,96,12,3,1,21,5,7,37,67,0.241,0.312,0.294,0.606,76.0,0.282,83.0,117,3,4,6,0,0,
Andy Pages,2024,23,LAD,NL,1.3,116,443,403,65,100,23,1,13,46,1,2,29,108,0.248,0.305,0.407,0.712,102.0,0.31,101.0,164,8,6,0,4,0,
Brayan Rocchio,2024,23,CLE,AL,1.9,143,442,383,50,79,18,0,8,36,10,6,44,90,0.206,0.298,0.316,0.614,76.0,0.281,78.0,121,11,8,2,5,1,
Dylan Moore,2024,31,SEA,AL,2.2,135,441,368,53,74,23,4,10,42,32,6,53,123,0.201,0.32,0.367,0.687,104.0,0.322,109.0,135,8,14,1,5,1,GG
Fernando Tatis Jr.,2024,25,SDP,NL,2.6,102,438,398,64,110,21,1,21,49,11,3,32,96,0.276,0.34,0.492,0.833,130.0,0.36,129.0,196,8,7,0,1,0,AS
Harrison Bader,2024,30,NYM,NL,0.9,143,437,402,57,95,19,0,12,51,17,8,21,95,0.236,0.284,0.373,0.657,86.0,0.287,84.0,150,6,8,0,6,1,
Ozzie Albies,2024,27,ATL,NL,1.6,99,435,399,52,100,29,1,10,53,8,1,27,65,0.251,0.303,0.404,0.707,95.0,0.313,93.0,161,6,5,0,4,0,
Otto López,2024,25,MIA,NL,2.6,117,434,403,49,109,23,1,6,39,20,4,25,75,0.27,0.313,0.377,0.69,87.0,0.32,91.0,152,13,1,2,2,0,
Blake Perkins,2024,27,MIL,NL,1.8,121,434,383,54,92,13,2,6,43,23,5,42,108,0.24,0.316,0.332,0.647,81.0,0.301,81.0,127,3,3,0,6,1,
Mitch Garver,2024,33,SEA,AL,-0.1,114,430,367,37,63,17,0,15,51,0,0,53,133,0.172,0.286,0.341,0.627,85.0,0.282,88.0,125,9,7,0,3,0,
José Miranda,2024,26,MIN,AL,1.7,121,429,401,44,114,28,4,9,49,2,2,18,66,0.284,0.322,0.441,0.763,112.0,0.333,112.0,177,13,6,0,4,1,
Mauricio Dubón,2024,29,HOU,AL,1.1,137,428,402,45,108,25,0,4,47,3,2,16,55,0.269,0.296,0.361,0.657,88.0,0.289,85.0,145,6,2,3,5,0,
Kyle Isbel,2024,27,KCR,AL,1.8,136,426,384,62,88,13,8,8,42,11,2,27,88,0.229,0.287,0.367,0.654,83.0,0.296,82.0,141,4,5,8,2,0,
Brandon Lowe,2024,29,TBR,AL,2.4,107,425,385,56,94,19,3,21,58,5,1,33,112,0.244,0.311,0.473,0.783,121.0,0.339,120.0,182,7,5,0,2,2,
Wenceel Pérez,2024,24,DET,AL,0.7,112,425,389,51,94,16,6,9,37,9,5,32,92,0.242,0.3,0.383,0.683,93.0,0.302,93.0,149,5,1,2,1,0,
Luis Robert Jr.,2024,26,CHW,AL,1.4,100,425,393,47,88,19,0,14,35,23,6,28,141,0.224,0.278,0.379,0.657,87.0,0.298,88.0,149,8,2,0,1,2,
Hunter Renfroe,2024,32,KCR,AL,0.0,120,424,385,44,88,18,0,15,52,1,1,36,84,0.229,0.297,0.392,0.689,92.0,0.308,94.0,151,10,2,0,1,0,
Mitch Haniger,2024,33,SEA,AL,-0.2,121,423,380,42,79,12,0,12,44,0,0,40,126,0.208,0.286,0.334,0.62,84.0,0.281,87.0,127,10,2,0,1,0,
Rowdy Tellez,2024,29,PIT,NL,-0.4,131,421,383,38,93,18,0,13,56,1,0,31,89,0.243,0.299,0.392,0.691,91.0,0.305,90.0,150,12,2,0,5,0,
Masataka Yoshida,2024,30,BOS,AL,1.4,108,421,378,45,106,21,0,10,56,2,0,27,52,0.28,0.349,0.415,0.765,112.0,0.341,114.0,157,6,14,0,2,0,
Mickey Moniak,2024,26,LAA,AL,-0.1,124,418,392,48,86,17,2,14,49,8,4,21,114,0.219,0.266,0.38,0.646,81.0,0.283,78.0,149,3,4,0,1,0,
Connor Joe,2024,31,PIT,NL,0.6,123,416,364,49,83,22,1,9,36,2,2,44,91,0.228,0.32,0.368,0.688,92.0,0.306,92.0,134,7,6,0,2,1,
Austin Wells,2024,24,NYY,AL,2.5,115,414,354,42,81,18,1,13,55,1,2,47,87,0.229,0.322,0.395,0.718,103.0,0.318,104.0,140,9,5,1,7,0,ROY-3
J.T. Realmuto,2024,33,PHI,NL,3.0,99,413,380,50,101,18,1,14,47,2,2,27,102,0.266,0.322,0.429,0.751,109.0,0.331,112.0,163,7,5,0,1,1,
Pete Crow-Armstrong,2024,22,CHC,NL,2.3,123,410,372,46,88,13,6,10,47,27,3,21,98,0.237,0.286,0.384,0.67,88.0,0.3,82.0,143,4,6,8,3,2,
Lars Nootbaar,2024,26,STL,NL,1.5,109,405,348,39,85,18,3,12,45,7,3,52,79,0.244,0.342,0.417,0.758,111.0,0.334,112.0,145,10,1,1,3,2,
Jon Singleton,2024,32,HOU,AL,0.3,119,405,355,46,83,13,1,13,42,0,0,47,111,0.234,0.321,0.386,0.707,103.0,0.317,105.0,137,2,0,0,3,0,
Nolan Gorman,2024,24,STL,NL,0.3,107,402,365,42,74,15,0,19,50,6,1,34,151,0.203,0.271,0.4,0.671,85.0,0.291,79.0,146,2,1,0,2,1,
LaMonte Wade Jr.,2024,30,SFG,NL,2.1,117,401,331,45,86,16,0,8,34,2,1,62,90,0.26,0.38,0.381,0.761,121.0,0.337,122.0,126,2,4,1,3,5,
Seth Brown,2024,31,OAK,AL,-0.6,124,400,372,32,86,11,1,14,44,4,2,25,112,0.231,0.283,0.379,0.662,91.0,0.291,90.0,141,7,2,0,1,0,
Trevor Larnach,2024,27,MIN,AL,1.3,112,400,355,59,92,17,0,15,52,4,1,40,89,0.259,0.338,0.434,0.771,116.0,0.341,117.0,154,12,3,0,2,1,
Max Kepler,2024,31,MIN,AL,1.0,105,399,368,43,93,21,1,8,42,1,0,22,80,0.253,0.302,0.38,0.682,91.0,0.315,98.0,140,3,5,0,3,0,
Ke'Bryan Hayes,2024,27,PIT,NL,0.8,96,396,365,38,85,9,0,4,25,11,2,23,75,0.233,0.283,0.29,0.573,61.0,0.267,60.0,106,12,4,0,4,1,
Korey Lee,2024,25,CHW,AL,0.1,125,394,377,36,79,14,1,12,37,6,3,17,122,0.21,0.244,0.347,0.591,68.0,0.264,68.0,131,12,0,0,0,0,
Kiké Hernández,2024,32,LAD,NL,1.3,126,393,362,44,83,16,0,12,42,0,0,27,77,0.229,0.281,0.373,0.654,85.0,0.294,88.0,135,13,0,1,3,0,
David Fry,2024,28,CLE,AL,1.4,122,392,335,44,88,18,1,14,51,4,1,42,84,0.263,0.356,0.448,0.804,128.0,0.352,128.0,150,13,9,0,4,4,AS
Santiago Espinal,2024,29,CIN,NL,-0.4,118,391,357,32,88,12,0,9,45,11,1,24,54,0.246,0.295,0.356,0.65,77.0,0.294,73.0,127,7,2,4,4,1,
Bo Naylor,2024,24,CLE,AL,0.7,123,389,354,39,71,10,2,13,39,6,3,29,122,0.201,0.264,0.35,0.614,73.0,0.272,71.0,124,3,2,2,2,1,
Will Benson,2024,26,CIN,NL,-1.4,128,388,343,41,64,19,2,14,43,16,7,40,154,0.187,0.274,0.376,0.65,76.0,0.285,70.0,129,3,2,1,2,0,
Byron Buxton,2024,30,MIN,AL,3.6,102,388,355,62,99,27,3,18,56,7,2,20,99,0.279,0.335,0.524,0.859,137.0,0.369,136.0,186,3,11,0,2,1,
Geraldo Perdomo,2024,24,ARI,NL,3.5,98,388,337,61,92,21,2,3,37,9,1,36,58,0.273,0.344,0.374,0.718,101.0,0.328,104.0,126,5,3,7,5,0,
Nick Gonzales,2024,25,PIT,NL,0.9,94,387,359,42,97,19,3,7,49,5,3,18,74,0.27,0.311,0.398,0.709,96.0,0.316,98.0,143,8,5,1,4,1,
Josh Lowe,2024,26,TBR,AL,0.7,106,387,353,37,85,19,2,10,34,25,1,32,123,0.241,0.302,0.391,0.693,98.0,0.315,93.0,138,2,0,0,2,4,
Alejandro Kirk,2024,25,TOR,AL,2.0,103,386,340,23,86,19,1,5,54,0,0,35,51,0.253,0.319,0.359,0.677,94.0,0.303,94.0,122,11,2,0,9,1,
Tyler Freeman,2024,25,CLE,AL,0.9,118,383,330,48,69,14,1,7,32,11,6,28,53,0.209,0.305,0.321,0.626,79.0,0.288,83.0,106,15,19,3,3,1,
Jake Fraley,2024,29,CIN,NL,0.3,116,382,350,44,97,19,2,5,26,20,5,26,70,0.277,0.33,0.386,0.716,95.0,0.319,92.0,135,6,3,0,3,0,
Thairo Estrada,2024,28,SFG,NL,-0.5,96,381,364,43,79,15,2,9,47,2,2,10,76,0.217,0.247,0.343,0.59,68.0,0.263,69.0,125,8,5,0,2,0,
Spencer Horwitz,2024,26,TOR,AL,1.2,97,381,328,46,87,19,0,12,40,0,0,42,70,0.265,0.357,0.433,0.79,125.0,0.346,125.0,142,8,7,0,4,2,
Spencer Torkelson,2024,24,DET,AL,0.3,92,381,342,45,75,21,1,10,37,0,0,33,105,0.219,0.295,0.374,0.669,89.0,0.293,86.0,128,6,4,0,1,0,
Anthony Rizzo,2024,34,NYY,AL,0.2,92,375,337,38,77,12,0,8,35,0,0,27,65,0.228,0.301,0.335,0.637,81.0,0.297,88.0,113,7,9,0,2,0,
Starling Marte,2024,35,NYM,NL,0.7,94,370,335,46,90,13,3,7,40,16,1,27,81,0.269,0.327,0.388,0.715,104.0,0.328,107.0,130,8,3,3,2,1,
Lenyn Sosa,2024,24,CHW,AL,-0.4,100,369,351,28,89,13,0,8,35,3,1,12,77,0.254,0.283,0.359,0.642,84.0,0.282,79.0,126,5,3,2,1,1,
Freddy Fermin,2024,29,KCR,AL,3.0,111,368,339,40,92,14,0,6,36,2,0,23,66,0.271,0.319,0.366,0.685,93.0,0.307,92.0,124,10,2,1,3,1,
Carlos Correa,2024,29,MIN,AL,3.7,86,367,319,55,99,20,2,14,54,0,0,40,61,0.31,0.388,0.517,0.905,152.0,0.393,155.0,165,5,3,0,4,4,AS
Abraham Toro,2024,27,OAK,AL,0.6,94,364,337,34,81,17,1,6,26,4,2,20,62,0.24,0.293,0.35,0.643,87.0,0.285,85.0,118,4,5,2,0,1,
Miguel Amaya,2024,25,CHC,NL,1.9,117,363,328,32,76,13,2,8,47,0,0,23,62,0.232,0.288,0.357,0.644,82.0,0.292,84.0,117,5,4,5,3,0,
Johan Rojas,2024,23,PHI,NL,0.7,120,363,338,47,82,12,3,3,32,25,4,13,69,0.243,0.279,0.322,0.601,69.0,0.277,63.0,109,7,4,8,0,0,
Jonny DeLuca,2024,25,TBR,AL,0.6,107,362,332,29,72,12,4,6,31,16,6,24,77,0.217,0.278,0.331,0.609,75.0,0.279,76.0,110,1,4,2,0,1,
Brandon Drury,2024,31,LAA,AL,-2.0,97,360,325,28,55,7,0,4,15,1,0,27,81,0.169,0.242,0.228,0.469,35.0,0.228,38.0,74,13,5,0,3,0,
Willson Contreras,2024,32,STL,NL,3.0,84,358,301,48,79,17,0,15,36,4,1,45,96,0.262,0.38,0.468,0.848,136.0,0.37,137.0,141,7,12,0,0,2,
Michael Massey,2024,26,KCR,AL,1.6,100,356,332,45,86,17,2,14,45,1,0,15,56,0.259,0.294,0.449,0.743,105.0,0.328,108.0,149,9,3,2,4,1,
Will Brennan,2024,26,CLE,AL,-0.2,114,353,330,37,87,13,2,8,30,4,2,19,48,0.264,0.309,0.388,0.697,97.0,0.307,96.0,128,9,3,0,1,2,
Gabriel Moreno,2024,24,ARI,NL,2.6,97,351,305,39,81,18,1,5,45,3,1,41,52,0.266,0.353,0.38,0.734,105.0,0.327,105.0,116,10,2,0,3,1,
Elias Díaz,2024,33,2TM,NL,1.3,96,351,325,27,86,20,0,6,39,0,0,20,69,0.265,0.313,0.382,0.695,88.0,0.309,87.0,124,15,4,0,2,2,
Elias Díaz,2024,33,COL,NL,1.2,84,327,304,26,82,18,0,5,36,0,0,17,64,0.27,0.315,0.378,0.693,87.0,0.306,84.0,115,13,4,0,2,2,
Elias Díaz,2024,33,SDP,NL,0.1,12,24,21,1,4,2,0,1,3,0,0,3,5,0.19,0.292,0.429,0.72,99.0,0.349,123.0,9,2,0,0,0,0,
Mike Tauchman,2024,33,CHC,NL,0.6,109,350,298,50,74,12,1,7,29,6,2,47,70,0.248,0.357,0.366,0.723,106.0,0.326,108.0,109,7,4,0,1,0,
Eloy Jiménez,2024,27,2TM,AL,-0.7,98,349,324,25,77,14,0,6,23,3,0,22,70,0.238,0.289,0.336,0.626,81.0,0.282,80.0,109,13,2,0,1,1,
Eloy Jiménez,2024,27,CHW,AL,-0.5,65,249,229,18,55,9,0,5,16,3,0,18,47,0.24,0.297,0.345,0.642,84.0,0.284,80.0,79,11,1,0,1,1,
Eloy Jiménez,2024,27,BAL,AL,-0.2,33,100,95,7,22,5,0,1,7,0,0,4,23,0.232,0.27,0.316,0.586,72.0,0.276,81.0,30,2,1,0,0,0,
Jake Bauers,2024,28,MIL,NL,-0.4,116,346,302,45,60,9,2,12,43,13,1,39,118,0.199,0.301,0.361,0.662,83.0,0.3,80.0,109,0,5,0,0,1,
Jake Cave,2024,31,COL,NL,-0.7,123,346,323,42,81,16,5,7,37,5,2,18,98,0.251,0.29,0.396,0.686,84.0,0.297,77.0,128,6,1,1,3,1,
Amed Rosario,2024,28,3TM,2LG,-0.1,103,346,332,29,93,18,3,3,32,13,5,9,73,0.28,0.306,0.38,0.686,94.0,0.312,98.0,126,10,4,0,1,0,
Amed Rosario,2024,28,2TM,NL,-0.6,27,71,68,7,12,1,0,1,6,4,1,2,25,0.176,0.211,0.235,0.447,23.0,0.231,29.0,16,1,1,0,0,0,
Amed Rosario,2024,28,TBR,AL,0.5,76,275,264,22,81,17,3,2,26,9,4,7,48,0.307,0.331,0.417,0.748,114.0,0.333,116.0,110,9,3,0,1,0,
Amed Rosario,2024,28,LAD,NL,0.1,5,12,11,1,3,1,0,0,2,1,1,1,2,0.273,0.333,0.364,0.697,100.0,0.281,96.0,4,0,0,0,0,0,
Amed Rosario,2024,28,CIN,NL,-0.6,22,59,57,6,9,0,0,1,4,3,0,1,23,0.158,0.186,0.211,0.397,9.0,0.221,16.0,12,1,1,0,0,0,
Tyrone Taylor,2024,30,NYM,NL,2.0,130,345,319,47,79,22,3,7,35,11,2,19,80,0.248,0.299,0.401,0.701,99.0,0.317,102.0,128,4,5,1,1,1,
Manuel Margot,2024,29,MIN,AL,-0.9,129,343,315,37,75,17,1,4,31,5,0,21,54,0.238,0.289,0.337,0.626,76.0,0.281,72.0,106,10,3,1,3,0,
Francisco Alvarez,2024,22,NYM,NL,0.8,100,342,308,39,73,14,2,11,47,1,1,30,86,0.237,0.307,0.403,0.71,101.0,0.319,107.0,124,7,2,0,2,0,
Travis d'Arnaud,2024,35,ATL,NL,1.1,99,341,307,40,73,16,0,15,48,1,0,24,89,0.238,0.302,0.436,0.739,103.0,0.32,101.0,134,8,6,0,4,0,
Tyler Fitzgerald,2024,26,SFG,NL,2.8,96,341,314,53,88,19,2,15,34,17,4,22,108,0.28,0.334,0.497,0.831,136.0,0.367,140.0,156,2,4,0,1,0,
TJ Friedl,2024,28,CIN,NL,0.5,85,341,297,35,67,5,1,13,55,9,1,26,52,0.226,0.31,0.38,0.69,88.0,0.313,88.0,113,1,12,2,4,0,
Kyle Tucker,2024,27,HOU,AL,4.7,78,339,277,56,80,13,0,23,49,11,0,56,54,0.289,0.408,0.585,0.993,181.0,0.426,179.0,162,5,1,0,2,3,AS
Jake Rogers,2024,29,DET,AL,1.0,102,337,310,43,61,16,1,10,36,1,0,22,99,0.197,0.255,0.352,0.607,71.0,0.27,69.0,109,6,3,0,2,1,
Miguel Rojas,2024,35,LAD,NL,3.4,103,337,307,41,87,21,0,6,36,8,2,23,34,0.283,0.337,0.41,0.748,113.0,0.329,112.0,126,8,3,2,2,0,
Bo Bichette,2024,26,TOR,AL,-0.3,81,336,311,29,70,16,1,4,31,5,1,20,64,0.225,0.277,0.322,0.598,71.0,0.269,68.0,100,12,3,0,2,1,
James Wood,2024,21,WSN,NL,1.1,79,336,295,43,78,13,4,9,41,14,8,39,97,0.264,0.354,0.427,0.781,122.0,0.343,124.0,126,1,2,0,0,1,
Nick Fortes,2024,27,MIA,NL,0.0,110,335,308,28,70,16,0,4,29,0,1,11,41,0.227,0.259,0.318,0.577,56.0,0.249,44.0,98,6,4,7,5,0,
Whit Merrifield,2024,35,2TM,NL,0.3,95,335,293,44,65,9,3,4,15,17,3,35,52,0.222,0.311,0.314,0.625,76.0,0.307,87.0,92,7,3,4,0,0,
Whit Merrifield,2024,35,PHI,NL,0.1,53,174,156,21,31,4,1,3,11,11,1,15,19,0.199,0.277,0.295,0.572,62.0,0.292,74.0,46,2,2,1,0,0,
Whit Merrifield,2024,35,ATL,NL,0.2,42,161,137,23,34,5,2,1,4,6,2,20,33,0.248,0.348,0.336,0.684,93.0,0.323,101.0,46,5,1,3,0,0,
Michael Siani,2024,24,STL,NL,0.7,124,334,298,42,68,7,2,2,20,20,3,21,92,0.228,0.285,0.285,0.57,61.0,0.265,54.0,85,2,3,11,1,0,
Adam Duvall,2024,35,ATL,NL,-1.4,104,330,303,29,55,10,0,11,30,0,0,21,99,0.182,0.245,0.323,0.569,57.0,0.262,59.0,98,6,5,0,1,0,
Ben Rortvedt,2024,26,TBR,AL,0.9,112,328,290,27,66,13,0,3,31,1,0,34,88,0.228,0.317,0.303,0.621,80.0,0.287,83.0,88,6,4,0,0,0,
Oswaldo Cabrera,2024,25,NYY,AL,1.3,108,326,299,47,74,11,0,8,36,4,2,21,63,0.247,0.296,0.365,0.661,87.0,0.3,90.0,109,6,1,2,3,0,
Royce Lewis,2024,25,MIN,AL,0.7,82,325,292,40,68,16,0,16,47,0,0,28,74,0.233,0.295,0.452,0.747,107.0,0.315,99.0,132,5,0,0,5,2,
Zach McKinstry,2024,29,DET,AL,0.8,118,325,297,32,64,14,5,4,23,16,0,24,69,0.215,0.277,0.337,0.614,74.0,0.288,74.0,100,3,2,0,2,0,
Danny Jansen,2024,29,2TM,AL,0.7,92,324,278,35,57,13,0,9,24,0,0,40,61,0.205,0.309,0.349,0.658,87.0,0.302,91.0,97,4,3,0,3,0,
Danny Jansen,2024,29,TOR,AL,0.6,62,228,198,27,42,13,0,6,18,0,0,25,42,0.212,0.303,0.369,0.671,91.0,0.3,92.0,73,1,2,0,3,0,
Danny Jansen,2024,29,BOS,AL,0.1,30,96,80,8,15,0,0,3,6,0,0,15,19,0.188,0.323,0.3,0.623,75.0,0.307,90.0,24,3,1,0,0,0,
Miguel Andujar,2024,29,OAK,AL,0.4,75,319,302,31,86,14,1,4,30,3,2,13,42,0.285,0.32,0.377,0.697,103.0,0.308,103.0,114,10,3,0,1,0,
Eddie Rosario,2024,32,2TM,NL,-1.6,91,319,297,33,52,12,0,10,35,9,1,16,77,0.175,0.215,0.316,0.531,48.0,0.241,43.0,94,4,0,2,4,0,
Eddie Rosario,2024,32,WSN,NL,-1.2,67,235,219,26,40,11,0,7,26,8,1,13,54,0.183,0.226,0.329,0.555,56.0,0.254,54.0,72,4,0,1,2,0,
Eddie Rosario,2024,32,ATL,NL,-0.4,24,84,78,7,12,1,0,3,9,1,0,3,23,0.154,0.181,0.282,0.463,27.0,0.202,13.0,22,0,0,1,2,0,
David Hamilton,2024,26,BOS,AL,2.6,98,317,294,47,73,17,1,8,28,33,4,22,80,0.248,0.303,0.395,0.697,92.0,0.331,95.0,116,1,1,0,0,0,
Richie Palacios,2024,27,TBR,AL,1.8,92,316,264,46,59,8,1,5,21,19,1,45,67,0.223,0.346,0.318,0.664,94.0,0.318,96.0,84,5,5,0,1,2,
Christian Vázquez,2024,33,MIN,AL,-0.2,93,315,294,29,65,10,0,7,27,3,1,11,65,0.221,0.248,0.327,0.575,60.0,0.262,60.0,96,11,1,5,4,0,
Christian Yelich,2024,32,MIL,NL,2.2,73,315,270,44,85,12,3,11,42,21,1,40,58,0.315,0.406,0.504,0.909,151.0,0.404,151.0,136,3,2,1,1,3,AS
Kevin Pillar,2024,35,2TM,AL,0.4,100,314,284,38,65,16,1,8,45,12,3,16,69,0.229,0.291,0.377,0.667,88.0,0.298,86.0,107,10,10,1,3,0,
Kevin Pillar,2024,35,CHW,AL,0.0,17,32,25,1,4,2,0,1,4,2,0,4,8,0.16,0.29,0.36,0.65,86.0,0.303,83.0,9,0,1,1,1,0,
