player,year,age,team,league,war,games,plate_appearances,at_bats,runs,hits,doubles,triples,home_runs,runs_batted_in,stolen_bases,caught_stealing,walks,strikeouts,batting_average,on_base_percentage,slugging_percentage,on_base_plus_slugging,on_base_plus_slugging_plus,runs_above_base_average,rbat_plus,total_bases,double_plays,hit_by_puitch,sacrifice_bunts,sacrifice_flies,intentional_walks,awards
Corey Seager,2024,30,TEX,AL,5.0,123,533,475,68,132,21,0,30,74,1,1,53,96,0.278,0.353,0.512,0.864,145.0,0.363,139.0,243,8,3,0,2,11,ASMVP-15
Leody Taveras,2024,25,TEX,AL,0.5,151,529,480,59,110,17,3,12,44,23,6,42,112,0.229,0.289,0.352,0.641,84.0,0.293,84.0,169,8,0,3,4,0,
Luis García Jr.,2024,24,WSN,NL,2.2,140,528,500,58,141,25,1,18,70,22,5,27,86,0.282,0.318,0.444,0.762,115.0,0.336,114.0,222,12,0,0,1,2,
Lane Thomas,2024,28,2TM,2LG,0.3,130,528,472,65,112,26,3,15,63,32,14,44,137,0.237,0.309,0.4,0.709,101.0,0.315,101.0,189,5,7,0,5,1,
Lane Thomas,2024,28,WSN,NL,0.5,77,341,300,42,76,16,3,8,40,28,12,32,72,0.253,0.331,0.407,0.738,109.0,0.334,115.0,122,4,5,0,4,0,
Lane Thomas,2024,28,CLE,AL,-0.2,53,187,172,23,36,10,0,7,23,4,2,12,65,0.209,0.267,0.39,0.657,85.0,0.28,76.0,67,1,2,0,1,1,
Sal Frelick,2024,24,MIL,NL,2.1,145,524,475,66,123,22,4,2,32,18,3,39,78,0.259,0.32,0.335,0.655,83.0,0.303,84.0,159,8,4,2,1,0,GG
Andrew Benintendi,2024,29,CHW,AL,-0.8,135,522,477,50,109,20,0,20,64,3,2,41,96,0.229,0.289,0.396,0.685,95.0,0.299,92.0,189,12,1,0,3,1,
Logan O'Hoppe,2024,24,LAA,AL,2.7,136,522,479,64,117,17,1,20,56,2,3,33,155,0.244,0.303,0.409,0.712,100.0,0.315,102.0,196,7,8,1,1,0,
Jacob Young,2024,24,WSN,NL,2.8,150,521,468,75,120,24,1,3,36,33,10,30,102,0.256,0.316,0.331,0.648,86.0,0.299,87.0,155,11,12,9,2,0,
Heliot Ramos,2024,24,SFG,NL,2.3,121,518,475,54,128,23,3,22,72,6,1,37,135,0.269,0.322,0.469,0.792,125.0,0.349,129.0,223,12,2,0,4,2,AS
Rhys Hoskins,2024,31,MIL,NL,-0.2,131,517,449,59,96,14,0,26,82,3,0,53,149,0.214,0.303,0.419,0.722,98.0,0.314,95.0,188,11,7,0,6,1,
