rank,player,year,age,team,league,games,games_started,games_completed,innings,chances,putouts,assists,errors,double_plays,fielding_percentage,tz_runs,tz_runs_rate,drs,drs_rate,range_9,lg_range_9,range_g,lg_range_g
339,Royce Lewis,,25,MIN,AL,52,50,44,419.2,132,42,83,7,7,0.947,-3,-7,-2,-6,2.68,2.5,2.36,2.49
340,Jhonkensy Noel,,22,CLE,AL,60,46,36,417,134,127,7,0,2,1,7,21,3,9,2.89,2.81,2.09,3.04
341,Austin Slater,,31,3TM,2LG,75,46,18,414.1,96,91,3,2,0,0.979,-3,-8,0,0,2.04,2.23,1.25,2.2
341,Austin Slater,,31,2TM,NL,46,29,12,260,59,55,2,2,0,0.966,-3,-12,-2,-9,1.97,2.21,1.24,2.18
341,Austin Slater,,31,SFG,NL,39,23,7,210,43,40,2,1,0,0.977,-4,-25,-1,-6,1.8,2.21,1.08,2.18
341,Austin Slater,,31,CIN,NL,7,6,5,50,16,15,0,1,0,0.938,2,38,-1,-24,2.7,2.21,2.14,2.19
341,Austin Slater,,31,BAL,AL,29,17,6,154.1,37,36,1,0,0,1,0,-1,2,16,2.16,2.27,1.28,2.24
342,David Fry,,28,CLE,AL,58,46,31,414,281,265,14,2,8,0.993,-2,-7,-4,-12,6.07,6.48,4.16,6.28
343,Hunter Goodman,,24,COL,NL,57,47,27,411,215,205,8,2,5,0.991,-4,-11,-4,-12,4.66,5.5,3.55,5.17
344,Romy González,,27,BOS,AL,85,40,17,407.2,216,133,78,5,18,0.977,-4,-13,0,0,4.66,4.45,2.18,4.31
345,Alex Jackson,,28,TBR,AL,58,46,30,407,468,444,18,6,2,0.987,1,3,2,6,10.22,9.16,7.97,9.03
346,Christian Yelich,,32,MIL,NL,48,47,44,402.1,79,75,3,1,1,0.987,-2,-5,-5,-15,1.74,2.21,1.63,2.18
347,Wilmer Flores,,32,SFG,NL,57,44,39,400.1,416,377,36,3,41,0.993,-3,-8,-2,-6,9.28,8.09,7.12,7.98
348,Austin Hedges,,31,CLE,AL,66,46,30,398.2,441,423,15,3,2,0.993,4,12,5,15,9.89,9.12,6.64,8.91
349,Juan Yepez,,26,WSN,NL,47,45,41,398.1,372,351,19,2,43,0.995,-4,-11,-2,-6,8.36,8.29,7.87,8.18
350,Jonah Bride,,28,MIA,NL,51,45,37,397.2,283,242,38,3,33,0.989,-4,-13,-2,-6,6.34,7.01,5.19,6.59
351,Martín Maldonado,,37,CHW,AL,48,46,35,388.2,391,378,11,2,0,0.995,-5,-15,-7,-22,9.01,9.16,8.1,9.03
352,Daz Cameron,,27,OAK,AL,58,45,24,384.1,86,83,3,0,0,1,-4,-13,-4,-12,2.01,2.27,1.48,2.24
353,Christian Bethancourt,,32,2TM,NL,60,42,33,384.1,366,341,20,5,2,0.986,2,6,-3,-9,8.45,9.06,6.02,8.94
353,Christian Bethancourt,,32,MIA,NL,36,25,20,230.1,220,206,10,4,2,0.982,0,0,-3,-16,8.44,9.06,6,8.94
353,Christian Bethancourt,,32,CHC,NL,24,17,13,154,146,135,10,1,0,0.993,2,16,0,0,8.47,9.06,6.04,8.94
354,Corey Julks,,28,CHW,AL,55,42,31,383,82,80,1,1,1,0.988,-4,-12,-4,-13,1.9,2.27,1.47,2.24
355,Luke Maile,,33,CIN,NL,52,44,31,381.2,421,402,18,1,0,0.998,5,16,-5,-16,9.9,8.99,8.08,8.5
356,Tyler Wade,,29,SDP,NL,72,38,20,381.2,104,48,53,3,5,0.971,-8,-26,-5,-16,2.38,3.01,1.26,2.93
357,Randal Grichuk,,32,ARI,NL,57,46,20,381,98,97,1,0,0,1,2,7,3,9,2.31,2.21,1.72,2.18
358,Brett Baty,,24,NYM,NL,47,43,33,380,122,33,87,2,10,0.984,1,3,-1,-3,2.84,2.55,2.55,2.51
359,Victor Scott II,,23,STL,NL,52,40,37,376,97,95,0,2,0,0.979,-5,-15,-1,-3,2.27,2.21,1.83,2.18
360,Sam Hilliard,,30,COL,NL,52,41,35,372,82,78,1,3,0,0.963,-11,-34,-2,-6,1.91,2.21,1.52,2.18
361,Brooks Lee,,23,MIN,AL,47,40,35,371,130,48,78,4,9,0.969,0,0,1,3,3.06,3.43,2.47,3.4
362,Austin Barnes,,34,LAD,NL,47,42,38,368.2,383,368,10,5,2,0.987,-4,-13,2,7,9.23,9.03,8.04,8.73
363,Jordan Walker,,22,STL,NL,48,46,22,367.1,67,64,2,1,1,0.985,-1,-2,-4,-13,1.62,2.21,1.38,2.18
364,Matt Thaiss,,29,LAA,AL,46,41,35,366.2,327,313,10,4,1,0.988,0,0,-2,-7,7.93,9.16,7.02,9.03
365,José Tena,,23,2TM,2LG,43,42,37,365.1,114,30,74,10,20,0.912,-2,-6,-2,-7,2.56,2.84,2.31,2.79
365,José Tena,,23,CLE,AL,2,1,0,10,3,2,0,1,0,0.667,-4,-468,0,0,1.8,2.43,1,2.45
365,José Tena,,23,WSN,NL,41,41,37,355.1,111,28,74,9,20,0.919,2,7,-2,-7,2.58,2.85,2.37,2.8
366,Reese McGuire,,29,BOS,AL,48,41,34,361.1,397,381,10,6,2,0.985,0,0,4,13,9.74,9.16,8.15,9.03
367,Gabriel Arias,,24,CLE,AL,48,41,30,361,146,57,83,6,12,0.959,0,-1,-3,-10,3.49,3.22,2.64,3.33
368,Justin Turner,,39,2TM,AL,48,44,24,359.2,295,253,38,4,12,0.986,-1,-5,1,3,7.28,7.52,5.94,7.25
368,Justin Turner,,39,TOR,AL,17,16,4,118,74,61,11,2,2,0.973,-1,-11,0,0,5.49,6.52,4.24,6.31
368,Justin Turner,,39,SEA,AL,31,28,20,241.2,221,192,27,2,10,0.991,0,-1,1,5,8.16,8.01,6.84,7.75
369,Tomás Nido,,30,2TM,NL,48,40,29,359,378,357,15,6,2,0.984,0,0,-2,-7,9.33,9.06,7.75,8.94
369,Tomás Nido,,30,NYM,NL,32,25,19,230.1,237,222,10,5,1,0.979,-1,-5,-2,-10,9.07,9.06,7.25,8.94
369,Tomás Nido,,30,CHC,NL,16,15,10,128.2,141,135,5,1,1,0.993,1,9,0,0,9.79,9.07,8.75,8.94
370,Connor Norby,,24,2TM,2LG,41,41,36,359,119,45,66,8,8,0.933,-5,-16,-4,-13,2.78,2.92,2.64,2.92
370,Connor Norby,,24,BAL,AL,9,9,5,74,18,5,13,0,3,1,-1,-11,1,16,2.19,3.96,2,3.91
370,Connor Norby,,24,MIA,NL,32,32,31,285,101,40,53,8,5,0.921,-4,-18,-5,-21,2.94,2.65,2.82,2.65
371,Josh Jung,,26,TEX,AL,40,40,39,352.1,97,28,66,3,7,0.969,-6,-20,-3,-10,2.4,2.47,2.35,2.44
372,Ben Rice,,25,NYY,AL,50,41,26,350,289,273,14,2,21,0.993,0,1,-1,-3,7.38,8.03,5.74,7.94
373,Nick Loftin,,25,KCR,AL,51,39,28,341.1,160,67,89,4,21,0.975,1,5,4,14,4.11,3.67,2.74,3.8
374,Kerry Carpenter,,26,DET,AL,47,39,26,339.2,94,88,5,1,0,0.989,-1,-2,1,4,2.46,2.27,1.98,2.24
375,James Outman,,27,LAD,NL,50,37,28,339.2,97,94,2,1,0,0.99,-5,-17,-1,-4,2.54,2.21,1.92,2.18
376,Darell Hernaiz,,22,OAK,AL,47,39,25,339,130,52,75,3,13,0.977,-5,-17,-5,-18,3.37,3,2.35,2.95
377,Junior Caminero,,20,TBR,AL,39,39,33,337.1,104,40,58,6,5,0.942,-1,-3,-1,-4,2.61,2.65,2.45,2.58
378,Derek Hill,,28,3TM,2LG,46,37,23,333,100,97,2,1,1,0.99,1,2,-4,-14,2.68,2.22,2.15,2.2
378,Derek Hill,,28,2TM,NL,33,29,17,257.1,82,81,1,0,1,1,2,11,-2,-9,2.87,2.21,2.48,2.18
378,Derek Hill,,28,TEX,AL,13,8,6,75.2,18,16,1,1,0,0.944,-2,-30,-2,-32,2.02,2.27,1.31,2.24
378,Derek Hill,,28,SFG,NL,4,4,2,32,6,6,0,0,0,1,-1,-53,-1,-38,1.69,2.22,1.5,2.18
378,Derek Hill,,28,MIA,NL,29,25,15,225.1,76,75,1,0,1,1,4,20,-1,-5,3.04,2.21,2.62,2.18
379,Dairon Blanco,,31,KCR,AL,67,34,21,332.1,83,79,1,3,0,0.964,-3,-9,-2,-7,2.17,2.27,1.19,2.24
380,Evan Carter,,21,TEX,AL,41,38,29,331,77,73,3,1,1,0.987,5,17,4,15,2.07,2.27,1.85,2.24
381,Ángel Martínez,,22,CLE,AL,39,37,28,331,76,66,7,3,0,0.961,-7,-24,-1,-4,1.98,2.32,1.87,2.3
382,Edward Olivares,,28,PIT,NL,45,41,18,330.2,79,76,2,1,0,0.987,-10,-35,-6,-22,2.12,2.21,1.73,2.18
383,Jorge Soler,,32,ATL,NL,46,46,13,326,63,60,2,1,0,0.984,-11,-40,-10,-37,1.71,2.21,1.35,2.18
384,Kyle McCann,,26,OAK,AL,44,39,30,324,304,288,12,4,2,0.987,-1,-4,-6,-22,8.33,9.16,6.82,9.03
385,Luis Matos,,22,SFG,NL,43,33,24,322.1,71,69,1,1,0,0.986,-7,-25,0,0,1.95,2.21,1.63,2.18
386,Curt Casali,,35,SFG,NL,41,38,25,321,372,345,20,7,0,0.981,-7,-26,-1,-4,10.23,9.06,8.9,8.94
387,Travis Jankowski,,33,TEX,AL,69,30,23,321,86,82,1,3,0,0.965,11,41,8,30,2.33,2.27,1.2,2.24
388,Tommy Edman,,29,LAD,NL,37,35,29,317,122,82,36,4,6,0.967,-1,-2,1,4,3.35,2.87,2.74,2.89
389,Riley Adams,,28,WSN,NL,40,36,29,314.1,294,279,10,5,2,0.983,-7,-27,-2,-8,8.27,9.06,7.23,8.94
390,Blaze Alexander,,25,ARI,NL,44,35,29,312,128,45,77,6,16,0.953,-5,-20,-4,-15,3.52,3.73,2.71,3.67
391,Andruw Monasterio,,27,MIL,NL,51,34,22,312,129,51,72,6,19,0.953,2,9,0,0,3.55,3.49,2.32,3.67
392,Danny Mendick,,30,CHW,AL,41,35,29,308.2,106,39,64,3,10,0.972,1,2,-1,-4,3,2.94,2.51,2.91
393,Grant McCray,,23,SFG,NL,37,35,33,307.1,89,87,0,2,0,0.978,-5,-20,-3,-12,2.55,2.21,2.35,2.18
394,Jung Hoo Lee,,25,SFG,NL,37,36,35,306.2,80,79,1,0,0,1,-2,-7,-2,-8,2.35,2.21,2.16,2.18
395,Luis Torrens,,28,NYM,NL,45,34,21,299.1,317,296,20,1,2,0.997,7,28,4,16,9.5,9.05,7.02,8.77
396,Pavin Smith,,28,ARI,NL,49,34,18,298.1,105,98,7,0,5,1,-3,-10,-4,-16,3.17,3.51,2.1,4.2
397,Trey Sweeney,,24,DET,AL,36,33,28,294,145,37,104,4,20,0.972,3,11,3,12,4.32,3.7,3.92,3.65
398,José Herrera,,27,ARI,NL,41,31,22,284.2,323,314,8,1,1,0.997,-3,-12,-2,-8,10.18,9.04,7.85,8.78
399,Brooks Baldwin,,23,CHW,AL,33,32,32,281,117,46,69,2,16,0.983,-4,-19,-2,-9,3.68,3.89,3.48,3.84
400,Brett Harris,,26,OAK,AL,35,31,28,280,82,20,59,3,9,0.963,0,-1,-4,-17,2.54,2.47,2.26,2.44
401,José Abreu,,37,HOU,AL,35,31,28,275.1,276,254,19,3,24,0.989,-3,-14,-2,-9,8.92,8.03,7.8,7.92
402,Alex Kirilloff,,26,MIN,AL,41,35,13,274.1,98,94,4,0,2,1,-1,-3,-4,-17,3.22,4.03,2.33,3.86
403,J.D. Davis,,31,2TM,AL,37,32,14,274,169,141,27,1,18,0.994,-8,-34,-2,-9,5.52,6.06,4,6.1
403,J.D. Davis,,31,OAK,AL,33,28,14,245,156,129,26,1,17,0.994,-7,-36,-2,-10,5.69,5.83,4.08,5.9
403,J.D. Davis,,31,NYY,AL,4,4,0,29,13,12,1,0,1,1,0,-12,0,0,4.03,8.04,3.25,7.93
404,Dylan Crews,,22,WSN,NL,31,31,28,273.2,67,66,1,0,0,1,-3,-14,4,18,2.2,2.21,2.16,2.18
405,Henry Davis,,24,PIT,NL,34,31,27,271.1,271,260,9,2,3,0.993,-1,-4,-4,-18,8.92,9.06,7.91,8.94
406,Nick Allen,,25,OAK,AL,41,30,24,269.1,129,49,74,6,24,0.953,1,6,4,18,4.11,3.57,3,3.51
407,Curtis Mead,,23,TBR,AL,35,32,24,268.1,95,35,56,4,9,0.958,-4,-17,-4,-18,3.05,3.44,2.53,3.45
408,Casey Schmitt,,25,SFG,NL,38,29,20,267,93,30,60,3,12,0.968,-3,-12,-3,-13,3.03,3.68,2.37,3.63
409,Patrick Wisdom,,32,CHC,NL,50,30,13,265,164,132,27,5,9,0.97,0,1,-1,-5,5.4,5.52,2.84,5.26
410,Michael Stefanic,,28,LAA,AL,36,31,19,264.1,127,50,77,0,25,1,2,9,-1,-5,4.32,3.92,3.43,3.8
411,Christian Encarnacion-Strand,,24,CIN,NL,29,29,28,255,215,196,19,0,13,1,0,2,-1,-5,7.59,8.29,7.41,8.18
412,Luis Urías,,27,SEA,AL,38,29,20,249.1,84,27,51,6,7,0.929,2,8,0,0,2.82,2.47,2.05,2.44
413,Tucker Barnhart,,33,ARI,NL,31,29,19,249,225,214,9,2,1,0.991,0,0,-2,-10,8.06,9.03,6.97,8.7
414,Aaron Schunk,,26,COL,NL,33,28,23,249,109,39,69,1,15,0.991,3,13,3,14,3.9,3.53,3.27,3.43
415,Gary Sánchez,,31,MIL,NL,32,28,25,247.1,228,212,11,5,2,0.978,-1,-3,-1,-5,8.11,9.02,6.97,8.84
416,Vaughn Grissom,,23,BOS,AL,30,28,26,245,123,35,85,3,16,0.976,4,18,1,5,4.41,3.97,4,3.91
417,Yan Gomes,,36,CHC,NL,34,27,23,244,251,245,6,0,0,1,-1,-5,-5,-25,9.26,9.06,7.38,8.94
418,Ali Sánchez,,27,MIA,NL,30,28,24,244,253,239,12,2,2,0.992,1,5,0,0,9.26,9.06,8.37,8.94
419,Andrew Knizner,,29,TEX,AL,36,28,20,242,255,248,5,2,1,0.992,-3,-15,-3,-15,9.41,9.06,7.03,8.6
420,Alika Williams,,25,PIT,NL,34,26,19,240.2,100,38,60,2,9,0.98,2,7,-1,-5,3.66,4.01,2.72,3.95
421,Sean Bouchard,,28,COL,NL,30,29,19,239,55,50,2,3,0,0.945,-11,-54,-5,-25,1.96,2.21,1.73,2.18
422,Kody Clemens,,28,PHI,NL,40,24,20,239,145,105,37,3,10,0.979,1,7,2,10,5.35,5.14,3.38,4.75
423,Alex Call,,29,WSN,NL,30,27,23,238.1,77,73,2,2,2,0.974,2,9,2,10,2.83,2.21,2.5,2.18
424,Alek Thomas,,24,ARI,NL,35,26,22,237,57,57,0,0,0,1,-6,-31,-1,-5,2.16,2.21,1.63,2.18
425,Jacob Wilson,,22,OAK,AL,27,27,24,236,101,32,69,0,16,1,-6,-28,-4,-20,3.85,3.7,3.74,3.65
426,Robbie Grossman,,34,3TM,AL,38,27,19,231.1,57,55,1,1,0,0.982,1,3,-1,-5,2.18,2.27,1.47,2.24
426,Robbie Grossman,,34,CHW,AL,19,18,15,152,42,40,1,1,0,0.976,-3,-21,-2,-16,2.43,2.27,2.16,2.24
426,Robbie Grossman,,34,TEX,AL,17,8,3,69,12,12,0,0,0,1,3,43,1,17,1.57,2.27,0.71,2.24
426,Robbie Grossman,,34,KCR,AL,2,1,1,10.1,3,3,0,0,0,1,1,70,0,0,2.61,2.26,1.5,2.25
427,Miles Mastrobuoni,,28,CHC,NL,38,25,14,230.2,102,31,68,3,10,0.971,3,14,1,5,3.86,3.27,2.48,3.2
428,Ben Gamel,,32,2TM,2LG,35,26,12,230,45,45,0,0,0,1,2,11,-2,-10,1.76,2.25,1.29,2.21
428,Ben Gamel,,32,NYM,NL,15,8,3,75,13,13,0,0,0,1,0,3,-1,-16,1.56,2.21,0.87,2.18
428,Ben Gamel,,32,HOU,AL,20,18,9,155,32,32,0,0,0,1,2,15,-1,-8,1.86,2.27,1.6,2.24
429,Nick Madrigal,,27,CHC,NL,47,21,14,229,68,21,45,2,8,0.971,-3,-17,-2,-10,2.59,3.19,1.29,2.98
430,Trevor Story,,31,BOS,AL,26,26,24,227.2,94,32,61,1,13,0.989,2,8,2,11,3.68,3.7,3.58,3.65
431,José Azócar,,28,SDP,NL,56,17,9,225.2,58,58,0,0,0,1,3,18,-1,-5,2.31,2.21,1.04,2.18
432,Ryan Noda,,28,OAK,AL,32,24,19,225,198,178,18,2,24,0.99,2,10,1,5,7.84,7.96,6.13,7.57
433,Dane Myers,,28,MIA,NL,39,22,11,222,67,59,6,2,1,0.97,-1,-3,1,5,2.64,2.21,1.67,2.18
434,Leo Rivas,,26,SEA,AL,39,23,19,221,75,19,54,2,8,0.973,-1,-3,-1,-5,2.97,3.71,1.78,3.55
435,Jonathan Aranda,,26,TBR,AL,28,25,19,219,156,137,19,0,11,1,1,3,1,5,6.41,7.25,5.2,6.94
436,Zack Short,,29,3TM,2LG,36,22,19,214.1,59,11,43,5,5,0.915,1,3,1,6,2.27,2.97,1.5,3.07
436,Zack Short,,29,2TM,NL,34,20,17,196.1,53,10,38,5,4,0.906,0,2,1,6,2.2,2.94,1.41,3.06
436,Zack Short,,29,NYM,NL,7,3,1,28,10,3,6,1,2,0.9,0,17,0,0,2.89,2.67,1.29,2.93
436,Zack Short,,29,BOS,AL,2,2,2,18,6,1,5,0,1,1,0,13,0,0,3,3.25,3,3.15
436,Zack Short,,29,ATL,NL,27,17,16,168.1,43,7,32,4,2,0.907,0,0,1,7,2.09,2.99,1.44,3.1
437,Dillon Dingler,,25,DET,AL,27,24,21,213.2,176,168,7,1,0,0.994,0,0,0,0,7.37,9.16,6.48,9.03
438,Bobby Dalbec,,29,BOS,AL,35,23,17,213.1,127,101,26,0,9,1,4,25,1,6,5.36,5.64,3.53,5.63
439,Nasim Nuñez,,23,WSN,NL,35,21,19,212.1,123,38,80,5,19,0.959,1,6,2,11,5,3.82,3.37,3.79
440,Logan Gilbert,,27,SEA,AL,33,33,1,208.2,38,26,9,3,0,0.921,,,-6,-6,1.51,1.31,1.06,1.29
441,Trey Cabbage,,27,HOU,AL,39,21,16,208.1,32,31,1,0,0,1,-2,-11,2,12,1.38,2.27,0.82,2.24
442,Seth Lugo,,34,KCR,AL,33,33,1,206.2,43,14,29,0,3,1,,,5,5,1.87,1.31,1.3,1.29
443,DJ Stewart,,30,NYM,NL,36,29,6,206,51,49,2,0,1,1,-7,-41,-5,-29,2.23,2.36,1.38,2.34
444,Weston Wilson,,29,PHI,NL,35,21,10,206,46,30,14,2,3,0.957,-3,-19,0,0,1.92,2.54,1.16,2.88
445,Nick Sogard,,26,BOS,AL,31,23,15,205.1,91,32,58,1,10,0.989,1,7,1,6,3.94,3.5,2.57,3.67
446,Logan Webb,,27,SFG,NL,33,33,1,204.2,50,15,33,2,5,0.96,,,-3,-3,2.11,1.36,1.45,1.34
447,Mike Trout,,32,LAA,AL,24,24,21,203,67,65,2,0,1,1,0,2,-1,-6,2.97,2.27,2.79,2.24
448,Zack Wheeler,,34,PHI,NL,32,32,0,200,38,21,17,0,1,1,,,3,3,1.71,1.36,1.19,1.34
449,Aaron Nola,,31,PHI,NL,33,33,1,199.1,28,12,16,0,2,1,,,1,1,1.26,1.36,0.85,1.34
450,Bryce Johnson,,28,SDP,NL,43,18,13,194.2,45,43,2,0,0,1,2,9,1,6,2.08,2.21,1.05,2.18
451,Corbin Burnes,,29,BAL,AL,32,32,0,194.1,36,15,17,4,0,0.889,,,-6,-6,1.48,1.31,1,1.29
452,Chuckie Robinson,,29,CHW,AL,26,23,14,193,208,196,10,2,1,0.99,1,6,0,0,9.61,9.16,7.92,9.03
453,José Berríos,,30,TOR,AL,32,32,1,192.1,32,12,18,2,1,0.938,,,2,2,1.4,1.31,0.94,1.29
454,Tarik Skubal,,27,DET,AL,31,31,0,192,29,7,19,3,2,0.897,,,3,3,1.22,1.31,0.84,1.29
455,Ji Hwan Bae,,24,PIT,NL,24,21,16,191.2,59,58,1,0,1,1,-3,-18,-1,-6,2.77,2.22,2.46,2.26
456,Jace Jung,,23,DET,AL,28,23,14,191,48,10,34,4,2,0.917,-5,-28,-6,-38,2.07,2.47,1.57,2.49
457,George Kirby,,26,SEA,AL,33,33,0,191,21,11,9,1,1,0.952,,,-4,-4,0.94,1.31,0.61,1.29
458,Mitch Garver,,33,SEA,AL,25,23,18,190,192,183,9,0,2,1,-1,-6,-5,-32,9.09,9.16,7.68,9.03
459,Dylan Cease,,28,SDP,NL,33,33,1,189.1,27,10,17,0,0,1,,,2,2,1.28,1.36,0.82,1.34
460,Akil Baddoo,,25,DET,AL,28,21,15,188.2,42,42,0,0,0,1,1,5,-1,-6,2,2.27,1.5,2.24
461,Jake Irvin,,27,WSN,NL,33,33,0,187.2,47,17,28,2,1,0.957,,,6,6,2.16,1.36,1.36,1.34
462,Jacob Amaya,,25,2TM,AL,24,21,17,187.1,69,34,34,1,10,0.986,0,-3,3,19,3.27,3.7,2.83,3.66
462,Jacob Amaya,,25,HOU,AL,1,0,0,2,4,2,2,0,1,1,0,120,0,0,18,4.05,4,3.9
462,Jacob Amaya,,25,CHW,AL,23,21,17,185.1,65,32,32,1,9,0.985,-1,-4,3,19,3.11,3.7,2.78,3.65
463,Cole Ragans,,26,KCR,AL,32,32,1,186.1,26,7,19,0,1,1,,,3,3,1.26,1.31,0.81,1.29
464,Omar Narváez,,32,NYM,NL,28,21,13,186,193,184,4,5,3,0.974,-4,-26,-7,-45,9.1,9.06,6.71,8.94
465,Charlie Blackmon,,37,COL,NL,26,24,12,185.2,40,38,2,0,0,1,-2,-13,-2,-13,1.94,2.21,1.54,2.18
466,Pablo López,,28,MIN,AL,32,32,0,185.1,25,11,13,1,1,0.96,,,-2,-2,1.17,1.31,0.75,1.29
467,Griffin Conine,,26,MIA,NL,25,21,17,185,46,41,4,1,2,0.978,1,8,6,39,2.19,2.21,1.8,2.18
468,Ryan Kreidler,,26,DET,AL,34,19,11,184.2,88,22,64,2,13,0.977,3,18,1,6,4.19,3.5,2.39,3.3
469,Kutter Crawford,,28,BOS,AL,33,33,0,183.2,26,18,8,0,1,1,,,1,1,1.27,1.31,0.79,1.29
470,Brian Serven,,29,TOR,AL,27,19,15,182,174,168,5,1,0,0.994,-1,-7,2,13,8.55,9.16,6.41,9.03
471,Luis Severino,,30,NYM,NL,31,31,1,182,44,9,30,5,2,0.886,,,5,5,1.93,1.36,1.26,1.34
472,Sean Manaea,,32,NYM,NL,32,32,0,181.2,22,3,17,2,0,0.909,,,0,0,0.99,1.36,0.63,1.34
473,Brandon Pfaadt,,25,ARI,NL,32,32,0,181.2,19,7,11,1,0,0.947,,,-1,-1,0.89,1.36,0.56,1.34
474,Cristopher Sánchez,,27,PHI,NL,31,31,2,181.2,39,6,28,5,0,0.872,,,3,3,1.68,1.36,1.1,1.34
475,Kevin Gausman,,33,TOR,AL,31,31,2,181,17,7,9,1,0,0.941,,,-2,-2,0.8,1.31,0.52,1.29
476,JP Sears,,28,OAK,AL,32,32,0,180.2,21,3,17,1,2,0.952,,,-2,-2,1,1.31,0.63,1.29
477,Bryce Miller,,25,SEA,AL,31,31,0,180.1,23,11,11,1,0,0.957,,,0,0,1.1,1.31,0.71,1.29
478,Adrian Del Castillo,,24,ARI,NL,24,19,17,179.2,181,171,7,3,1,0.983,-4,-27,-2,-13,8.92,9.06,7.42,8.94
479,Brady Singer,,27,KCR,AL,32,32,0,179.2,34,14,19,1,0,0.971,,,3,3,1.65,1.31,1.03,1.29
480,Tyler Anderson,,34,LAA,AL,31,31,0,179.1,25,15,9,1,1,0.96,,,-1,-1,1.2,1.31,0.77,1.29
481,Brandon Crawford,,37,STL,NL,25,21,15,179,67,18,48,1,10,0.985,-2,-10,-1,-7,3.32,3.48,2.64,3.37
482,Tanner Houck,,28,BOS,AL,30,30,1,178.2,51,32,19,0,2,1,,,2,2,2.57,1.31,1.7,1.29
483,Bailey Ober,,28,MIN,AL,31,31,1,178.2,29,11,17,1,0,0.966,,,3,3,1.41,1.31,0.9,1.29
484,Mitch Keller,,28,PIT,NL,31,31,1,178,31,10,21,0,3,1,,,-1,-1,1.57,1.36,1,1.34
485,Braden Shewmake,,26,CHW,AL,25,21,15,178,64,13,48,3,7,0.953,-1,-4,-1,-7,3.08,3.37,2.44,3.33
486,Chris Sale,,35,ATL,NL,29,29,0,177.2,31,9,22,0,1,1,,,4,5,1.57,1.36,1.07,1.34
487,Erick Fedde,,31,2TM,2LG,31,31,0,177.1,23,13,9,1,1,0.957,,,-1,-1,1.12,1.32,0.71,1.31
487,Erick Fedde,,31,CHW,AL,21,21,0,121.2,16,10,5,1,1,0.938,,,-1,-2,1.11,1.31,0.71,1.29
487,Erick Fedde,,31,STL,NL,10,10,0,55.2,7,3,4,0,0,1,,,0,0,1.13,1.36,0.7,1.34
488,Ryan Bliss,,24,SEA,AL,25,20,14,177,79,36,42,1,14,0.987,-1,-4,2,14,3.97,3.97,3.12,3.91
489,Framber Valdez,,30,HOU,AL,28,28,1,176.1,19,2,16,1,3,0.947,,,-1,-1,0.92,1.31,0.64,1.29
490,Yusei Kikuchi,,33,2TM,AL,32,32,0,175.2,20,7,13,0,0,1,,,2,2,1.02,1.31,0.63,1.29
490,Yusei Kikuchi,,33,TOR,AL,22,22,0,115.2,16,5,11,0,0,1,,,3,5,1.24,1.31,0.73,1.29
490,Yusei Kikuchi,,33,HOU,AL,10,10,0,60,4,2,2,0,0,1,,,-1,-3,0.6,1.31,0.4,1.29
491,Luis Castillo,,31,SEA,AL,30,30,0,175.1,12,6,5,1,1,0.917,,,-2,-2,0.56,1.31,0.37,1.29
492,Carlos Rodón,,31,NYY,AL,32,32,0,175,14,4,10,0,0,1,,,-1,-1,0.72,1.31,0.44,1.29
493,Will Wagner,,25,TOR,AL,21,19,17,175,85,31,53,1,12,0.988,0,1,1,7,4.32,4.04,3.82,4.09
494,Patrick Corbin,,34,WSN,NL,32,32,0,174.2,25,3,22,0,1,1,,,1,1,1.29,1.36,0.78,1.34
495,Nestor Cortes,,29,NYY,AL,31,30,0,174.1,15,5,10,0,1,1,,,2,2,0.77,1.31,0.48,1.29
496,Max Fried,,30,ATL,NL,29,29,2,174.1,27,10,17,0,0,1,,,0,0,1.39,1.36,0.93,1.34
497,Tanner Bibee,,25,CLE,AL,31,31,0,173.2,35,12,21,2,1,0.943,,,6,7,1.71,1.31,1.06,1.29
498,Michael King,,29,SDP,NL,31,30,0,173.2,32,10,21,1,2,0.969,,,4,5,1.61,1.36,1,1.34
499,Freddy Peralta,,28,MIL,NL,32,32,0,173.2,32,16,15,1,3,0.969,,,1,1,1.61,1.36,0.97,1.34
500,Shota Imanaga,,30,CHC,NL,29,29,0,173.1,18,4,14,0,1,1,,,3,3,0.93,1.36,0.62,1.34
501,Nathan Lukes,,29,TOR,AL,21,19,17,173,55,50,4,1,0,0.982,5,36,5,35,2.81,2.27,2.57,2.24
502,Griffin Canning,,28,LAA,AL,32,31,0,171.2,32,12,20,0,0,1,,,5,6,1.68,1.31,1,1.29
503,Miles Mikolas,,35,STL,NL,32,32,0,171.2,26,13,11,2,1,0.923,,,-1,-1,1.26,1.36,0.75,1.34
504,Bligh Madris,,28,DET,AL,21,19,16,171.1,145,140,5,0,12,1,-1,-4,2,14,7.62,7.84,6.9,7.65
505,Chris Bassitt,,35,TOR,AL,31,31,0,171,29,12,16,1,3,0.966,,,-1,-1,1.47,1.31,0.9,1.29
506,Jack López,,31,LAA,AL,27,18,11,171,103,40,59,4,24,0.961,1,8,-1,-7,5.21,3.89,3.41,3.79
507,Nathan Eovaldi,,34,TEX,AL,29,29,0,170.2,38,29,8,1,0,0.974,,,-1,-1,1.95,1.31,1.28,1.29
