rank,player,year,age,team,league,games,games_started,games_completed,innings,chances,putouts,assists,errors,double_plays,fielding_percentage,tz_runs,tz_runs_rate,drs,drs_rate,range_9,lg_range_9,range_g,lg_range_g
98,Paul DeJong,,30,KCR,AL,31,28,22,240.2,74,24,49,1,6,0.986,4,19,3,15,2.73,2.48,2.35,2.48
99,Gavin Lux,,26,LAD,NL,138,117,99,1054.2,453,179,265,9,68,0.98,-1,-1,-2,-2,3.79,4.15,3.19,4.09
100,Jeff McNeil,,32,NYM,NL,128,117,103,1054.1,457,216,232,9,66,0.98,-1,-1,1,1,3.82,3.81,3.25,3.7
101,Will Smith,,29,LAD,NL,121,117,113,1051.1,1066,1000,58,8,3,0.992,6,7,-4,-5,9.06,9.06,8.74,8.94
102,Josh Rojas,,30,SEA,AL,141,116,88,1050.1,323,98,215,10,20,0.969,3,3,8,9,2.68,2.56,2.07,2.56
103,Jose Siri,,28,TBR,AL,128,116,110,1049.2,345,337,1,7,1,0.98,7,8,12,14,2.9,2.28,2.62,2.28
104,Ha-Seong Kim,,28,SDP,NL,121,119,115,1046.2,419,145,263,11,64,0.974,0,0,2,2,3.51,3.82,3.37,3.77
105,Kyle Isbel,,27,KCR,AL,136,119,100,1046.1,298,293,1,4,1,0.987,-8,-9,5,6,2.53,2.27,2.16,2.24
106,Mike Yastrzemski,,33,SFG,NL,134,120,94,1043,221,212,5,4,1,0.982,-6,-7,4,5,1.87,2.21,1.61,2.17
107,Brandon Marsh,,26,PHI,NL,133,115,84,1038.2,239,228,6,5,1,0.979,-4,-5,7,8,2.03,2.21,1.76,2.18
108,George Springer,,34,TOR,AL,124,120,109,1038.2,224,219,3,2,0,0.991,-5,-6,-1,-1,1.92,2.27,1.79,2.24
109,Gio Urshela,,32,2TM,2LG,126,117,107,1038.1,379,181,191,7,34,0.982,12,14,1,1,3.22,3.22,2.88,3.24
109,Gio Urshela,,32,DET,AL,90,81,73,716.1,278,159,114,5,19,0.982,1,2,-4,-7,3.43,3.52,2.97,3.51
109,Gio Urshela,,32,ATL,NL,36,36,34,322,101,22,77,2,15,0.98,11,40,5,19,2.77,2.55,2.68,2.55
110,Jo Adell,,25,LAA,AL,123,117,113,1035.2,241,234,3,4,0,0.983,6,7,6,7,2.06,2.27,1.93,2.24
111,Andrew Benintendi,,29,CHW,AL,125,118,114,1031,250,244,3,3,0,0.988,-3,-3,-13,-15,2.16,2.27,1.98,2.24
112,Harrison Bader,,30,NYM,NL,140,108,97,1025.1,283,278,1,4,0,0.986,14,17,-2,-2,2.45,2.21,1.99,2.18
113,Trea Turner,,31,PHI,NL,118,118,106,1018.2,444,136,291,17,51,0.962,-8,-10,-14,-16,3.77,3.82,3.62,3.77
114,Jared Triolo,,26,PIT,NL,119,114,102,1010.2,380,149,228,3,46,0.992,2,3,7,8,3.36,3.46,2.97,3.58
115,Aaron Judge,,32,NYY,AL,117,117,98,1010,283,279,4,0,2,1,2,2,-8,-10,2.52,2.27,2.42,2.24
116,Tyler Stephenson,,27,CIN,NL,127,112,107,1001,981,945,32,4,4,0.996,-1,-1,-8,-10,8.78,9.06,7.69,8.94
117,Jarred Kelenic,,24,ATL,NL,124,111,95,1000,238,231,4,3,0,0.987,1,1,-3,-4,2.12,2.21,1.9,2.18
118,Ernie Clement,,28,TOR,AL,134,109,97,999.1,370,117,240,13,39,0.965,11,13,15,18,3.22,2.89,2.5,2.82
119,Michael Toglia,,25,COL,NL,116,113,104,997.1,948,870,70,8,96,0.992,-7,-8,11,13,8.48,7.64,7.7,7.44
120,Dylan Moore,,31,SEA,AL,134,108,68,992,401,194,202,5,28,0.988,7,9,-4,-5,3.59,3.46,2.4,3.47
121,Steven Kwan,,26,CLE,AL,114,114,104,990,215,205,9,1,3,0.995,1,1,10,12,1.95,2.27,1.88,2.24
122,Nicky Lopez,,29,CHW,AL,122,111,100,985,437,161,272,4,57,0.991,-4,-4,-10,-12,3.96,3.88,3.38,3.82
123,Mauricio Dubón,,29,HOU,AL,133,107,72,984.1,363,270,85,8,19,0.978,12,15,6,7,3.25,3.12,2.37,3.3
124,Yainer Diaz,,25,HOU,AL,112,110,106,982,1037,991,41,5,13,0.995,-2,-3,-7,-9,9.46,9.04,9.13,8.92
125,Ryan Mountcastle,,27,BAL,AL,114,108,105,981.1,937,860,74,3,57,0.997,1,1,8,10,8.57,8.03,8.19,7.92
126,Jonah Heim,,29,TEX,AL,119,110,103,977.1,1011,967,37,7,5,0.993,-8,-10,5,6,9.25,9.16,8.44,9.03
127,Mookie Betts,,31,LAD,NL,115,115,89,974.1,359,176,171,12,33,0.967,0,0,2,2,3.21,3.3,2.75,3.27
128,Heliot Ramos,,24,SFG,NL,112,110,99,973.2,230,225,4,1,0,0.996,7,8,-9,-11,2.12,2.21,2.04,2.18
129,Keibert Ruiz,,25,WSN,NL,116,109,104,971.2,962,921,39,2,8,0.998,-3,-4,2,2,8.89,9.06,8.28,8.94
130,Pete Crow-Armstrong,,22,CHC,NL,117,109,102,965.2,317,306,8,3,0,0.991,3,3,11,14,2.93,2.21,2.68,2.18
131,Luke Raley,,29,SEA,AL,127,105,80,965,411,389,18,4,14,0.99,2,2,4,5,3.8,3.91,2.95,3.93
132,MJ Melendez,,25,KCR,AL,123,115,82,964.2,197,193,2,2,1,0.99,-8,-10,-7,-9,1.82,2.28,1.57,2.29
133,Connor Wong,,28,BOS,AL,116,106,92,964,928,873,49,6,8,0.994,-2,-3,-16,-20,8.61,8.97,7.26,8.61
134,Michael Harris II,,23,ATL,NL,110,109,106,960.2,235,232,1,2,0,0.991,5,6,11,14,2.18,2.21,2.12,2.18
135,Davis Schneider,,25,TOR,AL,133,106,69,960.2,294,202,90,2,16,0.993,5,6,-2,-2,2.74,2.85,1.96,2.87
136,Wilyer Abreu,,25,BOS,AL,130,110,70,960.1,238,222,9,7,2,0.971,15,19,16,20,2.16,2.27,1.78,2.24
137,Austin Riley,,27,ATL,NL,109,109,106,960.1,248,60,178,10,17,0.96,-2,-2,0,0,2.23,2.55,2.18,2.51
138,Lawrence Butler,,23,OAK,AL,123,105,94,959.1,259,253,2,4,1,0.985,-1,-2,-1,-1,2.39,2.27,2.07,2.24
139,Corey Seager,,30,TEX,AL,113,113,100,959.1,415,137,271,7,52,0.983,7,9,4,5,3.83,3.7,3.61,3.65
140,Yandy Díaz,,32,TBR,AL,112,110,95,956.1,838,784,45,9,67,0.989,-3,-3,-5,-6,7.8,8.03,7.4,7.92
141,Blake Perkins,,27,MIL,NL,119,104,95,956.1,308,300,7,1,2,0.997,9,12,8,10,2.89,2.21,2.58,2.18
142,Jake Burger,,28,MIA,NL,110,109,82,949.1,562,416,133,13,40,0.977,-15,-18,-6,-8,5.2,5.35,4.29,5.57
