player,year,age,team,league,games,games_started,games_completed,innings,chances,putouts,assists,errors,double_plays,fielding_percentage,tz_runs,tz_runs_rate,drs,drs_rate,range_9,lg_range_9,range_g,lg_range_g
Luis Arráez,2024,27,SDP,NL,67,67,60,582.0,502,447,50,5,37,0.99,2.0,3.0,-3,-6.0,7.69,7.88,7.1,7.65
J.T. Realmuto,2024,33,PHI,NL,99,99,93,871.1,938,899,34,5,5,0.995,2.0,3.0,0,0.0,9.64,9.06,9.42,8.94
Nick Fortes,2024,27,MIA,NL,109,99,79,864.0,878,831,38,9,3,0.99,1.0,1.0,5,7.0,9.05,9.06,7.97,8.94
Lars Nootbaar,2024,26,STL,NL,107,98,69,863.0,214,209,2,3,2,0.986,-4.0,-5.0,0,0.0,2.2,2.21,1.97,2.18
Seth Brown,2024,31,OAK,AL,121,93,72,862.2,398,367,27,4,17,0.99,-1.0,-2.0,-6,-8.0,4.11,4.19,3.1,4.25
Geraldo Perdomo,2024,24,ARI,NL,97,95,89,849.1,378,112,261,5,55,0.987,2.0,3.0,10,14.0,3.95,3.82,3.85,3.77
Christopher Morel,2024,25,2TM,2LG,106,104,60,846.2,272,84,175,13,15,0.952,-10.0,-14.0,-6,-9.0,2.75,2.83,2.44,2.76
Christopher Morel,2024,25,CHC,NL,74,73,34,579.0,168,47,112,9,8,0.946,-7.0,-14.0,-4,-8.0,2.47,2.55,2.15,2.51
Christopher Morel,2024,25,TBR,AL,32,31,26,267.2,104,37,63,4,7,0.962,-3.0,-14.0,-2,-9.0,3.36,3.44,3.13,3.33
Wenceel Pérez,2024,24,DET,AL,105,94,81,846.1,192,189,1,2,0,0.99,4.0,5.0,-2,-3.0,2.02,2.27,1.81,2.24
Korey Lee,2024,25,CHW,AL,113,93,88,838.1,861,824,33,4,4,0.995,-1.0,-1.0,-10,-14.0,9.2,9.16,7.58,9.03
Michael Conforto,2024,31,SFG,NL,106,95,84,835.0,159,152,5,2,1,0.987,-6.0,-9.0,0,0.0,1.69,2.21,1.48,2.18
Bryan De La Cruz,2024,27,2TM,NL,99,95,86,834.2,190,178,8,4,2,0.979,-9.0,-13.0,-7,-10.0,2.01,2.21,1.88,2.18
Bryan De La Cruz,2024,27,MIA,NL,55,54,46,473.0,103,96,6,1,1,0.99,-8.0,-20.0,-3,-8.0,1.94,2.21,1.85,2.18
Bryan De La Cruz,2024,27,PIT,NL,44,41,40,361.2,87,82,2,3,1,0.966,-1.0,-3.0,-4,-13.0,2.09,2.21,1.91,2.18
Ke'Bryan Hayes,2024,27,PIT,NL,96,93,92,829.2,265,75,185,5,28,0.981,8.0,12.0,10,14.0,2.82,2.55,2.71,2.51
Luis Robert Jr.,2024,26,CHW,AL,97,95,92,828.2,257,254,1,2,0,0.992,-8.0,-12.0,1,1.0,2.77,2.27,2.63,2.24
Fernando Tatis Jr.,2024,25,SDP,NL,96,95,86,822.2,182,171,6,5,1,0.973,-7.0,-10.0,0,0.0,1.94,2.21,1.84,2.18
Tyler Freeman,2024,25,CLE,AL,113,90,71,817.0,240,205,32,3,6,0.988,1.0,2.0,3,4.0,2.61,2.4,1.96,2.45
Santiago Espinal,2024,29,CIN,NL,105,90,79,816.2,253,85,162,6,20,0.976,-2.0,-3.0,-5,-7.0,2.72,3.07,2.17,3.01
Connor Joe,2024,31,PIT,NL,113,90,51,816.2,500,457,39,4,46,0.992,-8.0,-11.0,4,6.0,5.47,5.59,3.88,5.88
Josh Bell,2024,31,2TM,NL,98,97,53,813.0,739,685,47,7,58,0.991,-5.0,-7.0,-9,-13.0,8.1,8.29,7.47,8.18
Josh Bell,2024,31,MIA,NL,67,67,38,561.0,511,472,32,7,39,0.986,-5.0,-10.0,-7,-15.0,8.09,8.29,7.52,8.18
Josh Bell,2024,31,ARI,NL,31,30,15,252.0,228,213,15,0,19,1.0,0.0,1.0,-2,-10.0,8.14,8.29,7.35,8.18
Thairo Estrada,2024,28,SFG,NL,94,93,90,811.2,387,121,264,2,63,0.995,-5.0,-7.0,-7,-10.0,4.27,4.15,4.1,4.09
Lenyn Sosa,2024,24,CHW,AL,97,91,84,807.1,288,115,167,6,42,0.979,-8.0,-11.0,-9,-13.0,3.14,3.18,2.79,3.23
Nick Gonzales,2024,25,PIT,NL,93,91,87,806.1,401,153,241,7,64,0.983,-1.0,-1.0,-5,-7.0,4.4,4.1,4.15,4.03
Max Kepler,2024,31,MIN,AL,103,88,84,806.1,176,172,4,0,1,1.0,0.0,0.0,0,0.0,1.96,2.27,1.71,2.24
Anthony Rizzo,2024,34,NYY,AL,92,91,83,801.2,679,602,74,3,58,0.996,1.0,1.0,2,3.0,7.59,8.03,7.35,7.92
Tyler O'Neill,2024,29,BOS,AL,95,90,59,799.2,162,151,4,7,0,0.957,-2.0,-3.0,1,2.0,1.74,2.27,1.63,2.24
Spencer Torkelson,2024,24,DET,AL,90,90,85,799.2,763,701,58,4,59,0.995,4.0,5.0,2,3.0,8.54,8.03,8.43,7.92
Jonny DeLuca,2024,25,TBR,AL,97,87,69,794.0,227,219,6,2,2,0.991,5.0,8.0,5,8.0,2.55,2.27,2.32,2.24
Jake Cave,2024,31,COL,NL,116,83,61,790.2,190,184,5,1,1,0.995,-9.0,-13.0,-6,-9.0,2.15,2.21,1.63,2.18
LaMonte Wade Jr.,2024,30,SFG,NL,104,92,70,785.0,739,660,78,1,59,0.999,-5.0,-8.0,1,2.0,8.46,7.96,6.96,7.5
Ben Rortvedt,2024,26,TBR,AL,111,87,67,782.0,790,755,26,9,2,0.989,0.0,0.0,-1,-2.0,8.99,9.14,6.97,8.96
Rhys Hoskins,2024,31,MIL,NL,94,88,76,777.1,660,602,55,3,52,0.995,-4.0,-6.0,-3,-5.0,7.61,8.29,6.99,8.18
Jake Fraley,2024,29,CIN,NL,100,91,71,776.2,199,193,4,2,0,0.99,6.0,8.0,-1,-2.0,2.28,2.21,1.97,2.18
Jon Singleton,2024,32,HOU,AL,94,88,72,768.2,640,568,64,8,60,0.988,-14.0,-22.0,-8,-12.0,7.4,8.03,6.72,7.92
Byron Buxton,2024,30,MIN,AL,94,87,79,767.0,206,204,2,0,0,1.0,-19.0,-29.0,2,3.0,2.42,2.27,2.19,2.24
Alejandro Kirk,2024,25,TOR,AL,93,89,77,766.0,759,706,46,7,6,0.991,6.0,9.0,13,20.0,8.84,9.16,8.09,9.03
Jake Rogers,2024,29,DET,AL,92,86,75,761.0,776,744,29,3,4,0.996,6.0,9.0,13,20.0,9.14,9.16,8.4,9.03
Miguel Rojas,2024,35,LAD,NL,102,86,67,757.0,334,132,199,3,27,0.991,5.0,7.0,11,17.0,3.94,3.76,3.06,3.7
Kevin Newman,2024,30,ARI,NL,109,79,65,754.1,332,114,213,5,52,0.985,3.0,4.0,10,16.0,3.9,4.04,2.82,4.19
Tyrone Taylor,2024,30,NYM,NL,113,75,51,754.1,199,193,3,3,0,0.985,1.0,2.0,10,16.0,2.34,2.21,1.73,2.18
Oswaldo Cabrera,2024,25,NYY,AL,104,79,70,753.1,301,136,158,7,19,0.977,-4.0,-6.0,3,5.0,3.51,3.1,2.6,3.28
Josh Lowe,2024,26,TBR,AL,92,87,69,743.1,195,189,2,4,1,0.979,-1.0,-1.0,-2,-3.0,2.31,2.27,2.08,2.24
Michael A. Taylor,2024,33,PIT,NL,106,80,72,735.2,235,229,3,3,0,0.987,13.0,22.0,11,18.0,2.84,2.21,2.19,2.18
Gabriel Moreno,2024,24,ARI,NL,93,83,78,732.0,669,636,31,2,4,0.997,4.0,7.0,10,16.0,8.2,9.06,7.1,8.87
Christian Vázquez,2024,33,MIN,AL,89,82,75,731.1,806,773,29,4,2,0.995,2.0,3.0,7,11.0,9.87,9.05,8.91,8.8
Tyler Fitzgerald,2024,26,SFG,NL,88,81,71,728.1,314,120,180,14,33,0.955,-5.0,-8.0,-5,-8.0,3.71,3.69,3.19,3.62
Zach McKinstry,2024,29,DET,AL,107,79,44,727.1,235,84,142,9,24,0.962,4.0,6.0,1,2.0,2.8,3.18,1.67,3.0
Francisco Alvarez,2024,22,NYM,NL,96,82,70,726.0,806,775,25,6,1,0.993,-6.0,-10.0,-1,-2.0,9.92,9.06,8.33,8.94
José Miranda,2024,26,MIN,AL,90,85,61,723.2,240,128,106,6,15,0.975,-2.0,-4.0,1,2.0,2.91,3.24,2.54,3.23
Whit Merrifield,2024,35,2TM,NL,88,80,69,723.0,254,114,135,5,29,0.98,-3.0,-6.0,-5,-8.0,3.1,3.46,2.71,3.35
Whit Merrifield,2024,35,PHI,NL,47,40,34,373.1,109,67,39,3,10,0.972,0.0,-1.0,0,0.0,2.56,2.82,2.08,2.78
Whit Merrifield,2024,35,ATL,NL,41,40,35,349.2,145,47,96,2,19,0.986,-3.0,-10.0,-5,-17.0,3.68,4.15,3.49,4.05
Kevin Kiermaier,2024,34,2TM,2LG,113,82,57,722.1,235,230,2,3,1,0.987,4.0,7.0,10,17.0,2.89,2.26,2.05,2.22
Kevin Kiermaier,2024,34,TOR,AL,81,63,47,550.1,171,167,1,3,0,0.982,1.0,1.0,9,20.0,2.75,2.27,2.07,2.24
Kevin Kiermaier,2024,34,LAD,NL,32,19,10,172.0,64,63,1,0,1,1.0,4.0,26.0,1,7.0,3.35,2.21,2.0,2.18
Ryan Jeffers,2024,27,MIN,AL,86,81,76,720.1,786,749,31,6,0,0.992,-3.0,-5.0,-4,-7.0,9.75,9.16,9.07,9.03
Emmanuel Rivera,2024,28,2TM,2LG,116,76,57,715.0,272,137,131,4,20,0.985,-6.0,-11.0,-5,-8.0,3.37,3.32,2.2,3.42
Emmanuel Rivera,2024,28,MIA,NL,91,59,47,549.1,211,96,112,3,17,0.986,-1.0,-2.0,0,0.0,3.41,3.27,2.21,3.24
Emmanuel Rivera,2024,28,BAL,AL,25,17,10,165.2,61,41,19,1,3,0.984,-6.0,-40.0,-5,-36.0,3.26,3.48,2.14,4.01
Carlos Correa,2024,29,MIN,AL,84,84,76,712.1,293,119,169,5,26,0.983,2.0,3.0,-3,-5.0,3.64,3.7,3.43,3.65
Travis d'Arnaud,2024,35,ATL,NL,89,79,74,706.2,744,716,25,3,3,0.996,3.0,5.0,-6,-10.0,9.44,9.06,8.33,8.94
Ramón Urías,2024,30,BAL,AL,96,75,67,702.2,190,58,126,6,12,0.968,-6.0,-10.0,-3,-5.0,2.36,2.58,1.88,2.6
Mitch Haniger,2024,33,SEA,AL,90,80,65,702.1,171,162,4,5,0,0.971,-1.0,-2.0,-1,-2.0,2.13,2.27,1.84,2.24
David Hamilton,2024,26,BOS,AL,94,78,55,699.2,330,115,205,10,40,0.97,0.0,-1.0,4,7.0,4.12,3.8,3.17,3.75
James Wood,2024,21,WSN,NL,79,79,77,697.2,137,129,4,4,1,0.971,-1.0,-2.0,-7,-12.0,1.72,2.21,1.68,2.18
Gavin Sheets,2024,28,CHW,AL,88,84,61,695.1,376,346,28,2,29,0.995,-9.0,-15.0,-7,-12.0,4.84,5.24,4.25,5.02
Will Brennan,2024,26,CLE,AL,98,79,50,694.0,161,157,2,2,0,0.988,2.0,3.0,-6,-10.0,2.06,2.27,1.62,2.24
Jeimer Candelario,2024,30,CIN,NL,80,79,68,689.2,327,220,96,11,26,0.966,-9.0,-15.0,-10,-17.0,4.12,4.5,3.67,4.62
Manuel Margot,2024,29,MIN,AL,113,68,38,688.1,166,163,0,3,0,0.982,3.0,5.0,-3,-5.0,2.13,2.27,1.44,2.24
Adam Duvall,2024,35,ATL,NL,91,74,68,685.0,157,151,4,2,0,0.987,-6.0,-11.0,-3,-5.0,2.04,2.21,1.7,2.18
Bo Bichette,2024,26,TOR,AL,81,81,72,684.1,242,76,159,7,35,0.971,-4.0,-6.0,-3,-5.0,3.09,3.7,2.9,3.65
Starling Marte,2024,35,NYM,NL,85,80,62,680.1,146,138,6,2,2,0.986,-15.0,-26.0,-6,-11.0,1.9,2.21,1.69,2.18
Ildemaro Vargas,2024,32,WSN,NL,92,71,55,679.1,239,100,133,6,32,0.975,-3.0,-5.0,-3,-5.0,3.09,3.19,2.22,3.12
TJ Friedl,2024,28,CIN,NL,82,79,69,678.0,198,192,3,3,1,0.985,1.0,2.0,-5,-9.0,2.59,2.21,2.38,2.18
Ramón Laureano,2024,29,2TM,2LG,96,74,58,675.1,146,138,7,1,0,0.993,1.0,1.0,3,5.0,1.93,2.23,1.51,2.2
Ramón Laureano,2024,29,CLE,AL,31,20,13,186.0,57,52,5,0,0,1.0,4.0,28.0,3,19.0,2.76,2.27,1.84,2.24
Ramón Laureano,2024,29,ATL,NL,65,54,45,489.1,89,86,2,1,0,0.989,-4.0,-9.0,0,0.0,1.62,2.21,1.35,2.18
Luis Campusano,2024,25,SDP,NL,88,74,70,673.2,728,701,24,3,0,0.996,-5.0,-9.0,-17,-30.0,9.69,9.06,8.24,8.92
Carson Kelly,2024,29,2TM,AL,84,75,70,672.2,678,642,33,3,8,0.996,1.0,2.0,-6,-11.0,9.03,9.16,8.04,9.03
Carson Kelly,2024,29,DET,AL,60,52,49,472.1,490,461,27,2,7,0.996,3.0,8.0,-2,-5.0,9.3,9.16,8.13,9.03
Carson Kelly,2024,29,TEX,AL,24,23,21,200.1,188,181,6,1,1,0.995,-2.0,-12.0,-4,-24.0,8.4,9.16,7.79,9.03
Javier Báez,2024,31,DET,AL,80,76,73,672.1,320,122,189,9,39,0.972,-1.0,-1.0,-4,-7.0,4.16,3.7,3.89,3.65
Alec Burleson,2024,25,STL,NL,87,81,47,671.1,238,221,16,1,12,0.996,-2.0,-3.0,-3,-5.0,3.18,3.27,2.63,3.18
Jesse Winker,2024,30,2TM,NL,92,85,50,670.2,138,129,7,2,1,0.986,-2.0,-4.0,1,2.0,1.83,2.21,1.48,2.18
Jesse Winker,2024,30,WSN,NL,65,62,47,515.2,105,98,5,2,1,0.981,-1.0,-2.0,1,2.0,1.8,2.21,1.58,2.18
Jesse Winker,2024,30,NYM,NL,27,23,3,155.0,33,31,2,0,0,1.0,-1.0,-9.0,0,0.0,1.92,2.21,1.22,2.18
Kyle Higashioka,2024,34,SDP,NL,83,77,60,665.2,698,669,20,9,1,0.987,-3.0,-5.0,1,2.0,9.32,9.06,8.3,8.94
Mark Canha,2024,35,2TM,2LG,89,74,58,665.0,407,383,20,4,32,0.99,-1.0,-1.0,-6,-11.0,5.45,5.57,4.33,5.34
Mark Canha,2024,35,DET,AL,61,59,48,515.1,281,265,13,3,22,0.989,-3.0,-7.0,-4,-9.0,4.86,5.03,4.34,4.99
Mark Canha,2024,35,SFG,NL,28,15,10,149.2,126,118,7,1,10,0.992,2.0,18.0,-2,-16.0,7.52,7.41,4.31,6.12
Freddy Fermin,2024,29,KCR,AL,91,72,71,663.0,674,634,35,5,2,0.993,12.0,22.0,16,29.0,9.08,9.16,7.35,9.03
Parker Meadows,2024,24,DET,AL,82,75,59,660.0,194,193,0,1,0,0.995,16.0,28.0,5,9.0,2.63,2.27,2.35,2.24
Brandon Drury,2024,31,LAA,AL,80,74,64,656.2,346,174,167,5,48,0.986,4.0,7.0,-4,-7.0,4.67,4.3,3.97,4.29
Danny Jansen,2024,29,2TM,AL,82,72,69,654.1,643,619,18,6,1,0.991,0.0,0.0,-11,-20.0,8.76,9.16,7.77,9.03
Danny Jansen,2024,29,TOR,AL,54,50,49,443.1,443,424,16,3,0,0.993,0.0,0.0,-6,-16.0,8.93,9.16,8.15,9.03
Danny Jansen,2024,29,BOS,AL,28,22,20,211.0,200,195,2,3,1,0.985,0.0,0.0,-5,-28.0,8.4,9.16,7.04,9.03
Chas McCormick,2024,29,HOU,AL,93,72,46,646.0,162,160,1,1,0,0.994,3.0,6.0,-2,-4.0,2.24,2.27,1.73,2.24
Richie Palacios,2024,27,TBR,AL,86,70,58,645.1,226,132,87,7,15,0.969,7.0,12.0,5,9.0,3.05,2.97,2.41,2.94
Vidal Bruján,2024,26,MIA,NL,87,68,51,630.0,264,116,139,9,29,0.966,-4.0,-7.0,4,8.0,3.64,3.47,2.6,3.33
Edmundo Sosa,2024,28,PHI,NL,86,68,50,628.2,291,101,184,6,36,0.979,3.0,6.0,6,11.0,4.08,3.63,3.13,3.52
Jake Bauers,2024,28,MIL,NL,89,69,49,628.1,484,441,38,5,42,0.99,-1.0,-3.0,-2,-4.0,6.86,7.56,4.99,6.9
Brett Wisely,2024,25,SFG,NL,86,68,54,626.2,288,85,200,3,43,0.99,2.0,4.0,4,8.0,4.09,3.96,3.1,3.93
Taylor Walls,2024,27,TBR,AL,83,68,64,625.1,255,80,172,3,33,0.988,14.0,28.0,12,23.0,3.63,3.7,3.04,3.65
Jose Iglesias,2024,34,NYM,NL,85,69,47,625.0,250,91,156,3,38,0.988,0.0,1.0,4,8.0,3.56,3.81,2.4,3.52
Seiya Suzuki,2024,29,CHC,NL,73,72,69,625.0,158,150,5,3,3,0.981,-3.0,-5.0,2,4.0,2.23,2.21,2.12,2.18
Edouard Julien,2024,25,MIN,AL,90,71,47,624.1,258,87,166,5,25,0.981,-8.0,-15.0,-6,-12.0,3.65,3.98,2.78,3.95
Michael Massey,2024,26,KCR,AL,82,70,55,623.1,302,122,177,3,39,0.99,0.0,1.0,0,0.0,4.32,3.97,3.65,3.91
Luis Rengifo,2024,27,LAA,AL,75,71,61,622.2,243,87,150,6,29,0.975,-2.0,-4.0,-4,-8.0,3.43,3.08,2.93,3.01
Jack Suwinski,2024,25,PIT,NL,85,67,45,617.2,178,177,0,1,0,0.994,3.0,6.0,-15,-29.0,2.58,2.21,2.08,2.18
Víctor Robles,2024,27,2TM,2LG,87,73,48,616.2,172,165,4,3,1,0.983,7.0,14.0,4,8.0,2.47,2.26,1.94,2.23
Víctor Robles,2024,27,WSN,NL,14,10,7,82.2,27,25,1,1,0,0.963,2.0,22.0,2,29.0,2.83,2.21,1.86,2.18
Víctor Robles,2024,27,SEA,AL,73,63,41,534.0,145,140,3,2,1,0.986,6.0,13.0,2,4.0,2.41,2.27,1.96,2.24
Dominic Smith,2024,29,2TM,2LG,82,71,48,616.0,556,472,77,7,49,0.987,10.0,19.0,-2,-4.0,8.02,8.01,6.46,7.7
Dominic Smith,2024,29,BOS,AL,77,66,46,576.2,526,443,76,7,45,0.987,10.0,20.0,-2,-4.0,8.1,8.0,6.49,7.67
Dominic Smith,2024,29,CIN,NL,5,5,2,39.1,30,29,1,0,4,1.0,0.0,3.0,0,0.0,6.86,8.28,6.0,8.18
Miguel Andujar,2024,29,OAK,AL,72,71,64,615.2,141,129,10,2,1,0.986,9.0,17.0,-1,-2.0,2.03,2.27,1.9,2.32
Abraham Toro,2024,27,OAK,AL,79,71,57,614.1,217,84,128,5,18,0.977,-3.0,-5.0,-2,-4.0,3.11,3.1,2.62,3.12
Austin Martin,2024,25,MIN,AL,82,69,42,612.0,160,139,20,1,3,0.994,-9.0,-18.0,-13,-25.0,2.34,2.53,1.81,2.51
Kevin Pillar,2024,35,2TM,AL,86,67,55,607.2,153,150,2,1,0,0.993,-5.0,-10.0,-2,-4.0,2.25,2.27,1.77,2.24
Kevin Pillar,2024,35,CHW,AL,14,8,6,72.2,17,17,0,0,0,1.0,1.0,8.0,0,0.0,2.11,2.27,1.21,2.24
Kevin Pillar,2024,35,LAA,AL,72,59,49,535.0,136,133,2,1,0,0.993,-6.0,-13.0,-2,-4.0,2.27,2.27,1.88,2.24
Joey Loperfido,2024,25,2TM,AL,76,69,45,604.2,158,156,2,0,0,1.0,8.0,15.0,6,12.0,2.35,2.3,2.05,2.39
Joey Loperfido,2024,25,HOU,AL,35,31,18,275.1,64,63,1,0,0,1.0,6.0,25.0,2,9.0,2.09,2.33,1.83,2.4
Joey Loperfido,2024,25,TOR,AL,41,38,27,329.1,94,93,1,0,0,1.0,2.0,7.0,4,15.0,2.57,2.27,2.24,2.37
Elias Díaz,2024,33,2TM,NL,79,70,62,604.1,500,467,29,4,1,0.992,-1.0,-2.0,5,10.0,7.39,9.06,6.28,8.94
Elias Díaz,2024,33,COL,NL,67,63,57,538.1,434,403,27,4,1,0.991,-1.0,-2.0,5,11.0,7.19,9.06,6.42,8.94
Elias Díaz,2024,33,SDP,NL,12,7,5,66.0,66,64,2,0,0,1.0,0.0,0.0,0,0.0,9.0,9.05,5.5,8.94
Jacob Stallings,2024,34,COL,NL,76,67,58,603.2,537,506,24,7,1,0.987,0.0,0.0,-6,-12.0,7.9,9.06,6.97,8.94
Max Muncy,2024,33,LAD,NL,72,66,64,602.1,165,44,115,6,16,0.964,3.0,6.0,5,10.0,2.38,2.55,2.21,2.51
Xavier Edwards,2024,24,MIA,NL,70,68,65,599.0,247,91,149,7,32,0.972,-15.0,-29.0,-8,-16.0,3.61,3.83,3.43,3.77
Sean Murphy,2024,29,ATL,NL,69,67,63,594.0,741,709,27,5,3,0.993,1.0,2.0,4,8.0,11.15,9.06,10.67,8.94
