player,year,age,team,league,games,games_started,games_completed,innings,chances,putouts,assists,errors,double_plays,fielding_percentage,tz_runs,tz_runs_rate,drs,drs_rate,range_9,lg_range_9,range_g,lg_range_g
Kyle Tucker,2024,27,HOU,AL,70,68,62,592.2,128,124,4,0,2,1.0,6.0,13.0,7,14.0,1.94,2.27,1.83,2.24
Eddie Rosario,2024,32,2TM,NL,75,67,45,592.2,131,126,3,2,2,0.985,-5.0,-11.0,-4,-8.0,1.96,2.21,1.72,2.18
Eddie Rosario,2024,32,WSN,NL,51,44,31,400.2,94,91,1,2,1,0.979,-5.0,-15.0,-5,-15.0,2.07,2.21,1.8,2.18
Eddie Rosario,2024,32,ATL,NL,24,23,14,192.0,37,35,2,0,1,1.0,0.0,-1.0,1,6.0,1.73,2.21,1.54,2.18
Spencer Horwitz,2024,26,TOR,AL,73,69,49,588.2,370,271,96,3,40,0.992,-6.0,-12.0,-6,-12.0,5.61,6.04,4.59,5.97
Nick Gordon,2024,28,MIA,NL,82,68,53,588.1,148,136,9,3,1,0.98,1.0,2.0,-7,-14.0,2.22,2.26,1.75,2.32
Nolan Jones,2024,26,COL,NL,69,67,64,583.2,112,103,4,5,0,0.955,-2.0,-4.0,-4,-8.0,1.65,2.21,1.55,2.18
Jason Heyward,2024,34,2TM,2LG,85,63,49,580.0,149,145,2,2,0,0.987,13.0,27.0,5,10.0,2.28,2.23,1.73,2.2
Jason Heyward,2024,34,LAD,NL,61,49,38,435.0,115,113,1,1,0,0.991,11.0,30.0,3,8.0,2.36,2.21,1.87,2.18
Jason Heyward,2024,34,HOU,AL,24,14,11,145.0,34,32,1,1,0,0.971,2.0,17.0,2,17.0,2.05,2.27,1.38,2.24
Dominic Fletcher,2024,26,CHW,AL,71,64,55,567.2,179,165,8,6,1,0.966,-7.0,-15.0,7,15.0,2.74,2.27,2.44,2.24
Garrett Hampson,2024,29,KCR,AL,112,59,28,567.1,191,148,40,3,11,0.984,8.0,17.0,9,19.0,2.98,2.76,1.49,3.0
Amed Rosario,2024,28,3TM,2LG,73,63,43,565.2,162,93,67,2,12,0.988,-10.0,-20.0,-11,-23.0,2.55,3.11,1.95,3.08
Amed Rosario,2024,28,2TM,NL,13,8,2,70.0,21,12,9,0,2,1.0,-2.0,-31.0,-1,-17.0,2.7,3.21,1.4,3.18
Amed Rosario,2024,28,TBR,AL,60,55,41,495.2,141,81,58,2,10,0.986,-8.0,-19.0,-10,-24.0,2.52,3.1,2.07,3.06
Amed Rosario,2024,28,LAD,NL,5,3,0,24.0,12,4,8,0,2,1.0,0.0,-10.0,0,0.0,4.5,3.94,2.4,3.64
Amed Rosario,2024,28,CIN,NL,8,5,2,46.0,9,8,1,0,0,1.0,-2.0,-42.0,-1,-26.0,1.76,2.84,0.9,2.95
Kyle Farmer,2024,33,MIN,AL,102,59,29,565.0,188,57,129,2,17,0.989,0.0,-1.0,-4,-8.0,2.96,3.57,1.59,3.48
Chris Taylor,2024,33,LAD,NL,85,56,34,564.0,151,98,51,2,10,0.987,-4.0,-9.0,-2,-4.0,2.38,2.72,1.51,2.66
Yasmani Grandal,2024,35,PIT,NL,71,62,54,563.1,589,572,10,7,1,0.988,-4.0,-8.0,0,0.0,9.3,9.06,7.97,8.92
