rank,player,year,age,team,league,war,wins,losses,win_loss_percentage,earned_run_average,games,games_started,games_finished,complete_games,shoutouts,saves,innings_pitched,hits,runs,earned_runs,home_runs,walks,intentional_walks,strikeouts,hit_by_pitch,balks,wild_pitches,batters_faced,era_plus,fip,whip,hits_per9,home_runs_per9,walks_per9,strikeouts_per9,strikeout_walk_ratio
377,Steven Matz*,,33,STL,NL,-0.2,1,2,0.333,5.08,12,7,2,0,0,0,44.1,49,28,25,7,15,1,33,2,0,1,190,82,4.88,1.444,9.9,1.4,3,6.7,2.2
378,Drew Thorpe,,23,CHW,AL,0.1,3,3,0.5,5.48,9,9,0,0,0,0,44.1,35,29,27,8,21,0,25,1,1,0,190,76,5.87,1.263,7.1,1.6,4.3,5.1,1.19
379,Jhony Brito,,26,SDP,NL,0.2,1,2,0.333,4.12,26,0,9,0,0,0,43.2,49,23,20,4,10,1,29,0,0,1,185,100,3.72,1.351,10.1,0.8,2.1,6,2.9
380,Jacob Latz*,,28,TEX,AL,0.3,2,3,0.4,3.71,46,0,9,0,0,0,43.2,39,20,18,6,27,3,40,1,0,4,192,105,5.04,1.511,8,1.2,5.6,8.2,1.48
381,Daniel Lynch IV*,,27,KCR,AL,0.9,2,0,1,3.32,16,3,3,0,0,1,43.1,29,17,16,6,14,0,39,4,0,0,174,124,4.41,0.992,6,1.2,2.9,8.1,2.79
382,Max Scherzer,,39,TEX,AL,0.4,2,4,0.333,3.95,9,9,0,0,0,0,43.1,40,20,19,7,10,0,40,1,0,2,177,99,4.18,1.154,8.3,1.5,2.1,8.3,4
383,Jonathan Hernández,,27,2TM,AL,-0.4,3,1,0.75,5.4,29,1,10,0,0,0,43.1,41,28,26,6,28,1,39,1,0,2,192,73,5.17,1.592,8.5,1.2,5.8,8.1,1.39
383,Jonathan Hernández,,27,TEX,AL,-0.3,3,1,0.75,5.05,26,1,8,0,0,0,41,39,25,23,6,26,1,36,1,0,2,181,77,5.29,1.585,8.6,1.3,5.7,7.9,1.38
383,Jonathan Hernández,,27,SEA,AL,-0.1,0,0,,11.57,3,0,2,0,0,0,2.1,2,3,3,0,2,0,3,0,0,0,11,38,3.17,1.714,7.7,0,7.7,11.6,1.5
384,DL Hall*,,25,MIL,NL,-0.2,1,2,0.333,5.02,13,7,2,0,0,0,43,48,26,24,6,21,0,44,4,0,1,197,81,4.68,1.605,10,1.3,4.4,9.2,2.1
385,Porter Hodge,,23,CHC,NL,1.3,3,1,0.75,1.88,39,0,17,0,0,9,43,19,10,9,2,19,0,52,1,0,1,164,213,2.75,0.884,4,0.4,4,10.9,2.74
386,Cam Booser*,,32,BOS,AL,0.8,2,3,0.4,3.38,43,0,7,0,0,1,42.2,41,17,16,5,16,1,43,0,0,0,183,125,3.8,1.336,8.6,1.1,3.4,9.1,2.69
387,Tommy Kahnle,,34,NYY,AL,0.8,0,2,0,2.11,50,0,8,0,0,1,42.2,30,16,10,5,19,1,46,2,0,1,179,192,4.01,1.148,6.3,1.1,4,9.7,2.42
388,Sam Long*,,28,KCR,AL,0.7,3,3,0.5,3.16,43,0,5,0,0,1,42.2,34,17,15,5,17,1,44,1,1,3,176,131,3.89,1.195,7.2,1.1,3.6,9.3,2.59
