player,year,age,team,league,war,games,plate_appearances,at_bats,runs,hits,doubles,triples,home_runs,runs_batted_in,stolen_bases,caught_stealing,walks,strikeouts,batting_average,on_base_percentage,slugging_percentage,on_base_plus_slugging,on_base_plus_slugging_plus,runs_above_base_average,rbat_plus,total_bases,double_plays,hit_by_puitch,sacrifice_bunts,sacrifice_flies,intentional_walks
Robinson Canó*,2022,39,NYM,NL,-0.5,12,43,41,3,8,0,0,1,3,0,0,2,11,0.195,0.233,0.268,0.501,44.0,0.222,36.0,11,0,0,0,0,0
Robinson Canó*,2022,39,SDP,NL,-0.5,12,34,33,1,3,0,0,0,1,0,0,1,10,0.091,0.118,0.091,0.209,-38.0,0.1,-49.0,3,0,0,0,0,0
Robinson Canó*,2022,39,ATL,NL,-0.4,9,27,26,1,4,1,0,0,0,0,0,1,4,0.154,0.185,0.192,0.377,6.0,0.202,13.0,5,2,0,0,0,0
Terrin Vavra*,2022,25,BAL,AL,0.0,40,103,89,14,23,2,1,1,12,0,1,12,19,0.258,0.34,0.337,0.677,97.0,0.298,94.0,30,2,0,0,2,0
Michael Papierski#,2022,26,2TM,NL,-0.6,39,103,91,7,13,1,0,1,4,0,0,10,26,0.143,0.228,0.187,0.415,17.0,0.207,14.0,17,4,0,2,0,0
Michael Papierski#,2022,26,SFG,NL,-0.2,5,10,9,1,0,0,0,0,0,0,0,1,4,0.0,0.1,0.0,0.1,-68.0,0.069,-75.0,0,0,0,0,0,0
Michael Papierski#,2022,26,CIN,NL,-0.4,34,93,82,6,13,1,0,1,4,0,0,9,22,0.159,0.242,0.207,0.449,26.0,0.222,24.0,17,4,0,2,0,0
Peyton Burdick,2022,25,MIA,NL,-0.4,32,102,92,8,19,4,0,4,11,1,0,8,35,0.207,0.284,0.38,0.665,86.0,0.296,83.0,35,1,2,0,0,0
Josh Jung,2022,24,TEX,AL,0.0,26,102,98,9,20,4,1,5,14,2,0,4,39,0.204,0.235,0.418,0.654,81.0,0.286,75.0,41,2,0,0,0,0
Kyle Stowers*,2022,24,BAL,AL,-0.1,34,98,91,11,23,4,1,3,11,0,0,5,29,0.253,0.306,0.418,0.724,106.0,0.317,104.0,38,3,2,0,0,0
Sean Bouchard,2022,26,COL,NL,0.9,27,97,74,9,22,6,0,3,11,0,0,21,25,0.297,0.454,0.5,0.954,158.0,0.418,162.0,37,1,1,0,1,0
Travis Demeritte,2022,27,ATL,NL,-0.5,26,96,89,9,19,2,0,3,6,0,0,6,32,0.213,0.26,0.337,0.597,65.0,0.263,57.0,30,2,0,0,1,0
Magneuris Sierra*,2022,26,LAA,AL,-0.4,45,96,91,7,15,1,3,0,5,6,1,4,25,0.165,0.2,0.242,0.442,25.0,0.201,8.0,22,0,0,1,0,0
Triston Casas*,2022,22,BOS,AL,0.1,27,95,76,11,15,1,0,5,12,1,0,19,23,0.197,0.358,0.408,0.766,113.0,0.354,120.0,31,4,0,0,0,0
Nick Solak,2022,27,TEX,AL,-0.2,35,95,82,14,17,1,0,3,4,3,2,7,19,0.207,0.309,0.329,0.638,82.0,0.324,108.0,27,1,5,1,0,0
Nolan Jones*,2022,24,CLE,AL,0.1,28,94,86,10,21,5,0,2,13,0,0,8,31,0.244,0.309,0.372,0.681,96.0,0.298,91.0,32,2,0,0,0,1
Buddy Kennedy,2022,23,ARI,NL,0.0,30,94,83,10,18,2,2,1,12,0,0,8,23,0.217,0.287,0.325,0.613,74.0,0.28,74.0,27,1,1,0,2,0
Derek Hill,2022,26,DET,AL,0.4,31,92,83,8,19,2,0,1,3,3,0,5,28,0.229,0.27,0.289,0.559,62.0,0.253,50.0,24,0,0,3,1,0
Edwin Ríos*,2022,28,LAD,NL,0.1,27,92,86,12,21,1,0,7,17,0,1,5,36,0.244,0.293,0.5,0.793,117.0,0.332,113.0,43,2,1,0,0,1
Jonathan Davis,2022,30,MIL,NL,0.0,37,91,76,9,17,1,0,0,4,7,1,14,26,0.224,0.344,0.237,0.581,69.0,0.29,71.0,18,1,0,1,0,0
Mark Mathias,2022,27,2TM,2LG,0.9,30,91,81,13,20,3,0,6,20,3,0,9,30,0.247,0.319,0.506,0.825,130.0,0.38,140.0,41,0,0,0,1,0
Mark Mathias,2022,27,MIL,NL,0.1,6,17,16,2,2,0,0,1,4,1,0,0,4,0.125,0.118,0.313,0.43,16.0,0.241,35.0,5,0,0,0,1,0
Mark Mathias,2022,27,TEX,AL,0.8,24,74,65,11,18,3,0,5,16,2,0,9,26,0.277,0.365,0.554,0.919,157.0,0.412,165.0,36,0,0,0,0,0
Jason Castro*,2022,35,HOU,AL,-0.6,34,88,78,6,9,2,0,1,3,1,0,8,40,0.115,0.205,0.179,0.384,12.0,0.187,7.0,14,1,1,0,1,0
Jonathan Aranda*,2022,24,TBR,AL,-0.2,32,87,78,10,15,4,0,2,6,0,0,8,23,0.192,0.276,0.321,0.596,74.0,0.263,68.0,25,1,1,0,0,1
Roman Quinn#,2022,29,2TM,2LG,-0.1,44,87,79,15,17,3,2,0,7,4,3,7,36,0.215,0.287,0.304,0.591,71.0,0.256,65.0,24,0,1,0,0,0
Roman Quinn#,2022,29,PHI,NL,0.0,23,40,37,8,6,1,0,0,3,4,1,3,15,0.162,0.225,0.189,0.414,20.0,0.203,11.0,7,0,0,0,0,0
Roman Quinn#,2022,29,TBR,AL,-0.1,21,47,42,7,11,2,2,0,4,0,2,4,21,0.262,0.34,0.405,0.745,117.0,0.302,112.0,17,0,1,0,0,0
Tyler Freeman,2022,23,CLE,AL,-0.3,24,86,77,9,19,3,0,0,3,1,0,4,11,0.247,0.314,0.286,0.6,76.0,0.288,82.0,22,2,4,0,1,0
Sandy León#,2022,33,2TM,AL,-0.5,33,86,71,6,12,3,0,0,4,0,0,13,27,0.169,0.298,0.211,0.509,50.0,0.245,50.0,15,2,0,2,0,0
Sandy León#,2022,33,CLE,AL,-0.2,8,21,15,0,2,0,0,0,0,0,0,6,4,0.133,0.381,0.133,0.514,59.0,0.282,80.0,2,1,0,0,0,0
Sandy León#,2022,33,MIN,AL,-0.4,25,65,56,6,10,3,0,0,4,0,0,7,23,0.179,0.27,0.232,0.502,46.0,0.233,40.0,13,1,0,2,0,0
Luis Barrera*,2022,26,OAK,AL,0.4,32,85,77,3,18,5,0,1,7,3,0,6,17,0.234,0.294,0.338,0.632,86.0,0.299,90.0,26,2,1,0,1,0
Nick Maton*,2022,25,PHI,NL,0.7,34,85,72,13,18,2,1,5,17,0,0,10,29,0.25,0.341,0.514,0.855,139.0,0.363,134.0,37,0,1,0,2,0
Andrelton Simmons,2022,32,CHC,NL,-0.1,34,85,75,8,13,1,0,0,7,4,0,7,13,0.173,0.244,0.187,0.431,23.0,0.215,12.0,14,5,0,3,0,0
Stone Garrett,2022,26,ARI,NL,0.5,27,84,76,13,21,8,0,4,10,3,1,3,27,0.276,0.309,0.539,0.848,135.0,0.371,139.0,41,1,1,0,1,0
Ryan Kreidler,2022,24,DET,AL,0.4,26,84,73,8,13,1,0,1,6,0,1,6,22,0.178,0.244,0.233,0.477,39.0,0.222,38.0,17,0,1,2,2,0
Yermín Mercedes,2022,29,SFG,NL,-0.1,31,83,73,9,17,5,0,1,8,0,0,9,17,0.233,0.325,0.342,0.668,91.0,0.313,99.0,25,1,1,0,0,0
René Pinto,2022,25,TBR,AL,-0.2,25,83,80,5,17,3,0,2,10,0,0,2,35,0.213,0.241,0.325,0.566,64.0,0.248,57.0,26,3,1,0,0,0
Guillermo Heredia,2022,31,ATL,NL,-0.4,74,82,76,12,12,3,1,3,8,0,0,6,32,0.158,0.22,0.342,0.562,53.0,0.253,50.0,26,1,0,0,0,0
Jake Marisnick,2022,31,PIT,NL,0.3,31,82,77,9,18,6,0,2,6,2,1,4,24,0.234,0.272,0.39,0.661,85.0,0.305,92.0,30,2,0,1,0,1
Jerar Encarnación,2022,24,MIA,NL,-0.2,23,81,77,7,14,3,0,3,14,2,0,3,32,0.182,0.21,0.338,0.548,52.0,0.252,49.0,26,3,0,0,1,0
Matt Thaiss*,2022,27,LAA,AL,-0.1,29,81,69,9,15,1,0,2,8,1,0,11,24,0.217,0.321,0.319,0.64,83.0,0.29,78.0,22,2,0,0,1,1
Steven Duggar*,2022,28,3TM,2LG,-0.4,29,80,72,7,11,3,1,0,4,5,1,7,41,0.153,0.225,0.222,0.447,28.0,0.214,21.0,16,0,0,0,1,0
Steven Duggar*,2022,28,2TM,AL,-0.3,17,41,36,5,4,0,1,0,0,1,1,5,25,0.111,0.22,0.167,0.386,12.0,0.183,8.0,6,0,0,0,0,0
Steven Duggar*,2022,28,SFG,NL,-0.1,12,39,36,2,7,3,0,0,4,4,0,2,16,0.194,0.231,0.278,0.509,45.0,0.247,34.0,10,0,0,0,1,0
Steven Duggar*,2022,28,TEX,AL,0.0,8,19,17,2,3,0,0,0,0,1,1,2,12,0.176,0.263,0.176,0.44,29.0,0.202,27.0,3,0,0,0,0,0
Steven Duggar*,2022,28,LAA,AL,-0.3,9,22,19,3,1,0,1,0,0,0,0,3,13,0.053,0.182,0.158,0.34,-2.0,0.166,-9.0,3,0,0,0,0,0
Donovan Walton*,2022,28,2TM,2LG,-0.1,25,78,76,9,12,8,0,1,8,0,0,1,16,0.158,0.179,0.303,0.482,34.0,0.208,23.0,23,1,1,0,0,0
Donovan Walton*,2022,28,SEA,AL,0.0,1,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0
Donovan Walton*,2022,28,SFG,NL,-0.1,24,78,76,8,12,8,0,1,8,0,0,1,16,0.158,0.179,0.303,0.482,34.0,0.208,23.0,23,1,1,0,0,0
Jermaine Palacios,2022,25,MIN,AL,-0.6,30,77,70,8,10,0,0,2,6,0,0,4,27,0.143,0.184,0.229,0.413,18.0,0.206,22.0,16,2,0,1,2,0
Phil Gosselin,2022,33,2TM,2LG,-1.0,34,77,74,6,11,0,1,0,2,0,0,2,24,0.149,0.182,0.176,0.357,2.0,0.175,-3.0,13,1,1,0,0,0
Phil Gosselin,2022,33,ATL,NL,-0.1,12,24,23,4,6,0,0,0,0,0,0,1,6,0.261,0.292,0.261,0.553,56.0,0.25,48.0,6,0,0,0,0,0
Phil Gosselin,2022,33,LAA,AL,-0.9,22,53,51,2,5,0,1,0,2,0,0,1,18,0.098,0.132,0.137,0.269,-23.0,0.142,-27.0,7,1,1,0,0,0
Meibrys Viloria*,2022,25,TEX,AL,0.2,26,75,63,10,10,1,0,2,5,0,0,11,29,0.159,0.28,0.27,0.55,58.0,0.254,55.0,17,0,0,0,1,0
Jack Mayfield,2022,31,LAA,AL,-0.2,23,74,70,8,13,1,1,1,6,1,0,3,17,0.186,0.23,0.271,0.501,42.0,0.24,42.0,19,1,1,0,0,0
Michael Hermosillo,2022,27,CHC,NL,-0.4,31,73,61,7,7,2,0,0,4,1,0,7,27,0.115,0.25,0.148,0.398,15.0,0.221,25.0,9,0,4,1,0,0
Gabriel Moreno,2022,22,TOR,AL,0.7,25,73,69,10,22,1,0,1,7,0,0,4,8,0.319,0.356,0.377,0.733,112.0,0.324,109.0,26,2,0,0,0,0
Patrick Mazeika*,2022,28,NYM,NL,-0.3,24,72,68,4,13,4,0,1,6,0,0,2,9,0.191,0.214,0.294,0.508,45.0,0.219,32.0,20,0,0,2,0,0
Luke Raley*,2022,27,TBR,AL,0.3,22,72,61,7,12,2,0,1,4,0,0,7,24,0.197,0.306,0.279,0.584,73.0,0.281,81.0,17,1,3,0,1,0
J.J. Matijevic*,2022,26,HOU,AL,-0.1,32,71,67,7,14,2,0,2,5,1,0,2,25,0.209,0.254,0.328,0.582,66.0,0.286,78.0,22,1,2,0,0,0
Miguel Sanó,2022,29,MIN,AL,-0.8,20,71,60,1,5,0,0,1,3,1,0,9,25,0.083,0.211,0.133,0.345,2.0,0.181,2.0,8,0,1,0,1,0
Cal Stevenson*,2022,25,OAK,AL,-0.2,23,71,60,5,10,3,0,0,1,1,1,8,23,0.167,0.261,0.217,0.478,43.0,0.218,38.0,13,1,0,2,1,0
Daz Cameron,2022,25,DET,AL,0.0,21,70,64,6,14,3,1,1,8,2,0,5,20,0.219,0.286,0.344,0.629,81.0,0.286,76.0,22,1,1,0,0,0
Roberto Pérez,2022,33,PIT,NL,0.6,21,69,60,8,14,2,0,2,8,0,0,9,25,0.233,0.333,0.367,0.7,99.0,0.317,101.0,22,1,0,0,0,0
Michael Stefanic,2022,26,LAA,AL,0.0,25,69,61,5,12,2,0,0,0,0,0,5,12,0.197,0.279,0.23,0.509,47.0,0.235,40.0,14,1,2,1,0,0
Garrett Mitchell*,2022,23,MIL,NL,1.0,28,68,61,9,19,3,0,2,9,8,0,6,28,0.311,0.373,0.459,0.832,134.0,0.39,132.0,28,0,0,1,0,0
Chris Owings,2022,30,BAL,AL,-0.5,26,68,56,6,6,2,0,0,0,1,0,10,24,0.107,0.254,0.143,0.397,19.0,0.205,19.0,8,3,1,1,0,0
Jordan Groshans,2022,22,MIA,NL,-0.1,17,65,61,9,16,0,0,1,2,0,0,4,13,0.262,0.308,0.311,0.619,76.0,0.279,72.0,19,2,0,0,0,0
Matt Wallner*,2022,24,MIN,AL,-0.3,18,65,57,4,13,3,0,2,10,1,0,6,25,0.228,0.323,0.386,0.709,103.0,0.31,95.0,22,0,2,0,0,1
Travis Jankowski*,2022,31,2TM,2LG,-0.1,44,64,55,11,9,0,0,0,2,3,0,8,10,0.164,0.281,0.164,0.445,33.0,0.244,44.0,9,0,1,0,0,0
Travis Jankowski*,2022,31,NYM,NL,-0.1,43,63,54,11,9,0,0,0,2,3,0,8,9,0.167,0.286,0.167,0.452,35.0,0.248,46.0,9,0,1,0,0,0
Travis Jankowski*,2022,31,SEA,AL,0.0,1,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100.0,0.0,-118.0,0,0,0,0,0,0
Cole Tucker#,2022,25,PIT,NL,-1.0,18,63,63,3,11,1,1,0,2,1,0,0,25,0.175,0.175,0.222,0.397,12.0,0.178,-2.0,14,1,0,0,0,0
Juan Lagares,2022,33,LAA,AL,-0.9,20,62,60,4,11,2,1,0,0,0,0,2,15,0.183,0.21,0.25,0.46,30.0,0.201,16.0,15,0,0,0,0,0
Kyle Lewis,2022,26,SEA,AL,-0.1,18,62,56,6,8,0,0,3,5,0,0,5,19,0.143,0.226,0.304,0.529,54.0,0.254,63.0,17,2,1,0,0,0
Willie Calhoun*,2022,27,2TM,2LG,-0.4,22,62,52,7,7,3,0,1,3,0,0,9,8,0.135,0.274,0.25,0.524,51.0,0.248,51.0,13,2,1,0,0,0
Willie Calhoun*,2022,27,TEX,AL,-0.2,18,53,44,7,6,3,0,1,2,0,0,8,6,0.136,0.283,0.273,0.556,60.0,0.26,59.0,12,1,1,0,0,0
Willie Calhoun*,2022,27,SFG,NL,-0.1,4,9,8,0,1,0,0,0,1,0,0,1,2,0.125,0.222,0.125,0.347,3.0,0.177,2.0,1,1,0,0,0,0
Will Benson*,2022,24,CLE,AL,-0.2,28,61,55,8,10,1,0,0,3,0,0,3,19,0.182,0.25,0.2,0.45,33.0,0.226,38.0,11,1,2,1,0,0
Mark Contreras*,2022,27,MIN,AL,-0.1,28,61,58,9,7,1,0,3,6,1,0,1,21,0.121,0.148,0.293,0.441,22.0,0.209,21.0,17,2,1,0,1,0
Yairo Muñoz,2022,27,PHI,NL,-0.1,29,60,57,7,12,2,0,3,7,1,0,3,10,0.211,0.25,0.404,0.654,82.0,0.298,84.0,23,0,0,0,0,0
Hoy Park*,2022,26,PIT,NL,-0.3,23,60,51,7,11,2,0,2,6,1,0,4,15,0.216,0.276,0.373,0.648,82.0,0.298,83.0,19,0,1,2,2,0
Chuckie Robinson,2022,27,CIN,NL,-0.5,25,60,59,3,8,2,0,2,5,0,0,0,17,0.136,0.136,0.271,0.407,8.0,0.173,-12.0,16,5,0,1,0,0
Anthony Bemboom*,2022,32,BAL,AL,-0.3,22,59,52,4,6,2,0,1,1,0,0,6,17,0.115,0.207,0.212,0.418,21.0,0.195,14.0,11,1,0,1,0,0
Jake Hager,2022,29,ARI,NL,-0.1,28,59,50,4,12,2,0,0,3,0,0,8,17,0.24,0.345,0.28,0.625,81.0,0.289,80.0,14,0,0,1,0,0
Liván Soto*,2022,22,LAA,AL,0.7,18,59,55,9,22,5,1,1,9,1,1,2,13,0.4,0.414,0.582,0.996,179.0,0.418,178.0,32,1,0,1,1,0
Dee Strange-Gordon*,2022,34,WSN,NL,-0.3,22,59,59,6,18,1,1,0,2,3,2,0,8,0.305,0.305,0.356,0.661,91.0,0.278,81.0,21,1,0,0,0,0
Conner Capel*,2022,25,2TM,2LG,0.1,22,59,52,7,16,0,1,3,11,1,1,5,10,0.308,0.356,0.519,0.875,152.0,0.364,144.0,27,2,0,0,2,0
Conner Capel*,2022,25,STL,NL,-0.1,9,19,17,1,3,0,0,1,2,0,0,1,2,0.176,0.211,0.353,0.563,58.0,0.239,47.0,6,0,0,0,1,0
Conner Capel*,2022,25,OAK,AL,0.2,13,40,35,6,13,0,1,2,9,1,1,4,8,0.371,0.425,0.6,1.025,198.0,0.423,191.0,21,2,0,0,1,0
Gabriel Arias,2022,22,CLE,AL,0.1,16,57,47,9,9,1,1,1,5,1,0,8,16,0.191,0.321,0.319,0.641,87.0,0.325,108.0,15,1,1,1,0,0
Billy McKinney*,2022,27,OAK,AL,-0.8,23,57,52,3,5,1,0,1,4,0,0,4,16,0.096,0.158,0.173,0.331,-2.0,0.144,-18.0,9,0,0,0,1,1
Oswald Peraza,2022,22,NYY,AL,0.5,18,57,49,8,15,3,0,1,2,2,0,6,9,0.306,0.404,0.429,0.832,138.0,0.396,153.0,21,3,2,0,0,0
Jose Rojas*,2022,29,LAA,AL,-1.1,22,57,56,1,7,2,0,0,1,0,0,0,19,0.125,0.14,0.161,0.301,-15.0,0.136,-31.0,9,1,1,0,0,0
Justin Upton,2022,34,SEA,AL,-0.3,17,57,48,2,6,1,0,1,3,0,0,6,23,0.125,0.263,0.208,0.471,41.0,0.248,58.0,10,1,3,0,0,0
David MacKinnon,2022,27,2TM,AL,-0.4,22,57,50,2,7,0,0,0,6,0,0,6,17,0.14,0.228,0.14,0.368,9.0,0.199,17.0,7,2,0,0,1,0
David MacKinnon,2022,27,LAA,AL,-0.3,16,43,37,0,7,0,0,0,6,0,0,5,12,0.189,0.279,0.189,0.468,37.0,0.247,49.0,7,2,0,0,1,0
David MacKinnon,2022,27,OAK,AL,-0.2,6,14,13,2,0,0,0,0,0,0,0,1,5,0.0,0.071,0.0,0.071,-76.0,0.049,-84.0,0,0,0,0,0,0
Connor Wong,2022,26,BOS,AL,-0.1,27,56,48,8,9,3,0,1,7,0,0,5,16,0.188,0.273,0.313,0.585,63.0,0.256,51.0,15,0,1,1,1,0
Willians Astudillo,2022,30,MIA,NL,-0.7,21,55,54,5,13,0,0,1,4,1,0,1,3,0.241,0.255,0.296,0.551,56.0,0.264,58.0,16,2,0,0,0,0
Nick Ahmed,2022,32,ARI,NL,-0.1,17,54,52,7,12,2,0,3,7,0,1,2,15,0.231,0.259,0.442,0.702,95.0,0.306,100.0,23,2,0,0,0,0
Adalberto Mondesí#,2022,26,KCR,AL,-0.2,15,54,50,3,7,0,0,0,3,5,0,4,20,0.14,0.204,0.14,0.344,0.0,0.183,-13.0,7,2,0,0,0,0
Tres Barrera,2022,27,WSN,NL,-0.4,19,53,50,2,9,1,0,0,4,0,0,2,16,0.18,0.212,0.2,0.412,20.0,0.185,9.0,10,1,0,1,0,0
Alec Burleson*,2022,23,STL,NL,0.0,16,53,48,4,9,1,0,1,3,1,0,5,9,0.188,0.264,0.271,0.535,54.0,0.301,88.0,13,1,0,0,0,0
Jordan Diaz,2022,21,OAK,AL,0.2,15,51,49,3,13,3,0,0,1,0,0,2,7,0.265,0.294,0.327,0.621,83.0,0.269,75.0,16,1,0,0,0,0
Luis Campusano,2022,23,SDP,NL,-0.2,16,50,48,4,12,1,0,1,5,0,0,1,11,0.25,0.26,0.333,0.593,71.0,0.254,61.0,16,2,0,0,1,0
Miguel Vargas,2022,22,LAD,NL,-0.4,18,50,47,4,8,1,0,1,8,1,0,2,13,0.17,0.2,0.255,0.455,27.0,0.221,25.0,12,0,0,0,1,0
Joshua Palacios*,2022,26,WSN,NL,-0.2,29,49,47,8,10,2,0,0,2,1,0,1,15,0.213,0.245,0.255,0.5,45.0,0.228,38.0,12,0,1,0,0,0
Matt Beaty*,2022,29,SDP,NL,-0.8,20,47,43,6,4,1,1,0,1,0,0,2,8,0.093,0.17,0.163,0.333,-2.0,0.157,-9.0,7,3,2,0,0,0
Cam Gallagher,2022,29,KCR,AL,-0.2,18,47,42,1,9,5,0,0,5,0,0,3,13,0.214,0.267,0.333,0.6,69.0,0.286,76.0,14,0,0,2,0,0
Esteban Quiroz*,2022,30,CHC,NL,0.5,14,47,40,3,11,0,0,0,3,1,1,4,9,0.275,0.37,0.275,0.645,85.0,0.297,87.0,11,0,2,1,0,0
Tim Locastro,2022,29,NYY,AL,-0.3,38,46,43,13,8,1,0,2,4,8,2,2,7,0.186,0.239,0.349,0.588,65.0,0.279,58.0,15,0,1,0,0,0
Andrew Knapp#,2022,30,3TM,2LG,-0.2,16,46,39,4,5,1,0,0,4,0,0,5,12,0.128,0.239,0.154,0.393,16.0,0.197,15.0,6,0,1,0,1,0
Andrew Knapp#,2022,30,2TM,NL,-0.1,14,42,35,4,5,1,0,0,4,0,0,5,9,0.143,0.262,0.171,0.433,27.0,0.215,28.0,6,0,1,0,1,0
Andrew Knapp#,2022,30,PIT,NL,-0.1,11,35,31,2,4,1,0,0,2,0,0,3,9,0.129,0.229,0.161,0.39,14.0,0.193,12.0,5,0,1,0,0,0
Andrew Knapp#,2022,30,SEA,AL,-0.1,2,4,4,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,-100.0,0.0,-120.0,0,0,0,0,0,0
Andrew Knapp#,2022,30,SFG,NL,0.0,3,7,4,2,1,0,0,0,2,0,0,2,0,0.25,0.429,0.25,0.679,101.0,0.327,109.0,1,0,0,0,1,0
Will Brennan*,2022,24,CLE,AL,0.6,11,45,42,6,15,1,1,1,8,2,1,2,4,0.357,0.4,0.5,0.9,159.0,0.382,154.0,21,0,1,0,0,1
Clint Frazier,2022,27,CHC,NL,0.0,19,45,37,4,8,3,0,0,1,1,0,7,11,0.216,0.356,0.297,0.653,86.0,0.331,103.0,11,1,1,0,0,0
Niko Goodrum#,2022,30,HOU,AL,-0.2,15,45,43,2,5,2,0,0,1,1,0,2,23,0.116,0.156,0.163,0.318,-8.0,0.17,-8.0,7,0,0,0,0,0
Yolmer Sánchez#,2022,30,2TM,2LG,-0.6,17,44,37,1,4,0,0,0,2,0,2,5,13,0.108,0.214,0.108,0.322,-6.0,0.139,-22.0,4,0,0,2,0,0
Yolmer Sánchez#,2022,30,BOS,AL,-0.5,14,44,37,1,4,0,0,0,2,0,2,5,13,0.108,0.214,0.108,0.322,-6.0,0.139,-22.0,4,0,0,2,0,0
Yolmer Sánchez#,2022,30,NYM,NL,-0.1,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0
Brett Baty*,2022,22,NYM,NL,-0.3,11,42,38,4,7,0,0,2,5,0,0,2,8,0.184,0.244,0.342,0.586,67.0,0.261,63.0,13,0,1,0,0,0
Wynton Bernard,2022,31,COL,NL,0.1,12,42,42,9,12,1,0,0,3,3,1,0,8,0.286,0.286,0.31,0.595,61.0,0.274,55.0,13,1,0,0,0,0
Tom Murphy,2022,31,SEA,AL,0.5,14,42,33,9,10,2,0,1,1,0,0,8,13,0.303,0.439,0.455,0.894,164.0,0.397,168.0,15,1,0,0,0,0
Jeter Downs,2022,23,BOS,AL,-0.6,14,41,39,4,6,1,0,1,4,0,0,1,21,0.154,0.171,0.256,0.427,17.0,0.183,-1.0,10,0,0,0,1,0
Erik González,2022,30,MIA,NL,0.2,16,41,37,4,7,1,0,0,3,1,0,4,12,0.189,0.268,0.216,0.485,40.0,0.231,34.0,8,1,0,0,0,0
Royce Lewis,2022,23,MIN,AL,0.3,12,41,40,5,12,4,0,2,5,0,0,1,5,0.3,0.317,0.55,0.867,143.0,0.37,141.0,22,2,0,0,0,0
Dom Nuñez*,2022,27,COL,NL,-0.4,14,41,33,3,4,1,0,0,2,0,0,6,10,0.121,0.244,0.152,0.395,10.0,0.198,4.0,5,0,0,0,2,0
Mark Vientos,2022,22,NYM,NL,-0.2,16,41,36,3,6,1,0,1,3,0,0,5,12,0.167,0.268,0.278,0.546,58.0,0.253,58.0,10,1,0,0,0,0
Jonathan Araúz#,2022,23,2TM,AL,-0.5,15,41,38,3,5,0,0,1,5,0,0,1,12,0.132,0.15,0.211,0.361,2.0,0.181,-3.0,8,0,0,1,1,0
Jonathan Araúz#,2022,23,BOS,AL,-0.4,6,12,10,1,0,0,0,0,1,0,0,0,3,0.0,0.0,0.0,0.0,-100.0,0.0,-155.0,0,0,0,1,1,0
Jonathan Araúz#,2022,23,BAL,AL,-0.1,9,29,28,2,5,0,0,1,4,0,0,1,9,0.179,0.207,0.286,0.493,40.0,0.25,55.0,8,0,0,0,0,0
Chad Wallach,2022,30,LAA,AL,-0.1,12,40,35,3,5,1,0,1,4,0,0,4,9,0.143,0.231,0.257,0.488,38.0,0.225,32.0,9,1,0,1,0,0
Lewis Brinson,2022,28,SFG,NL,-0.3,16,39,36,5,6,2,0,3,4,1,0,2,14,0.167,0.211,0.472,0.683,87.0,0.294,81.0,17,0,0,1,0,0
Abraham Almonte#,2022,33,BOS,AL,0.0,15,37,35,7,9,2,0,1,2,1,0,1,12,0.257,0.297,0.4,0.697,92.0,0.333,103.0,14,1,1,0,0,0
Ji Hwan Bae*,2022,22,PIT,NL,0.5,10,37,33,5,11,3,0,0,6,3,0,2,6,0.333,0.405,0.424,0.83,137.0,0.41,153.0,14,0,2,0,0,0
Matt Davidson,2022,31,2TM,2LG,-0.6,13,37,34,3,5,0,0,2,3,0,1,3,13,0.147,0.216,0.324,0.54,55.0,0.224,50.0,11,0,0,0,0,0
Matt Davidson,2022,31,ARI,NL,-0.1,5,13,10,1,1,0,0,1,1,0,0,3,3,0.1,0.308,0.4,0.708,99.0,0.317,101.0,4,0,0,0,0,0
Matt Davidson,2022,31,OAK,AL,-0.5,8,24,24,2,4,0,0,1,2,0,1,0,10,0.167,0.167,0.292,0.458,32.0,0.174,21.0,7,0,0,0,0,0
Alex Dickerson*,2022,32,ATL,NL,-0.4,13,36,33,3,4,0,0,1,2,0,0,3,9,0.121,0.194,0.212,0.407,13.0,0.19,4.0,7,3,0,0,0,0
Lenyn Sosa,2022,22,CHW,AL,-0.5,11,36,35,3,4,1,0,1,1,0,0,1,12,0.114,0.139,0.229,0.367,2.0,0.184,5.0,8,2,0,0,0,0
Esteury Ruiz,2022,23,2TM,NL,-0.5,17,36,35,3,6,1,1,0,2,1,2,1,7,0.171,0.194,0.257,0.452,29.0,0.175,18.0,9,0,0,0,0,0
Esteury Ruiz,2022,23,SDP,NL,-0.4,14,27,27,1,6,1,1,0,2,1,2,0,5,0.222,0.222,0.333,0.556,59.0,0.207,48.0,9,0,0,0,0,0
Esteury Ruiz,2022,23,MIL,NL,-0.2,3,9,8,2,0,0,0,0,0,0,0,1,2,0.0,0.111,0.0,0.111,-65.0,0.077,-72.0,0,0,0,0,0,0
Brent Rooker,2022,27,2TM,2LG,-0.4,16,36,32,1,4,1,0,0,2,0,0,3,11,0.125,0.222,0.156,0.378,11.0,0.187,7.0,5,2,1,0,0,0
Brent Rooker,2022,27,SDP,NL,-0.2,2,7,7,0,0,0,0,0,0,0,0,0,4,0.0,0.0,0.0,0.0,-100.0,0.0,-122.0,0,0,0,0,0,0
