player,year,age,team,league,war,games,plate_appearances,at_bats,runs,hits,doubles,triples,home_runs,runs_batted_in,stolen_bases,caught_stealing,walks,strikeouts,batting_average,on_base_percentage,slugging_percentage,on_base_plus_slugging,on_base_plus_slugging_plus,runs_above_base_average,rbat_plus,total_bases,double_plays,hit_by_puitch,sacrifice_bunts,sacrifice_flies,intentional_walks
Mauricio Dubón,2022,27,SFG,NL,0.2,21,49,46,10,11,1,0,2,8,0,0,1,4,0.239,0.245,0.391,0.636,78.0,0.283,77.0,18,0,0,0,2,0
Mauricio Dubón,2022,27,HOU,AL,-0.2,83,216,197,21,41,8,0,3,16,2,3,12,26,0.208,0.254,0.294,0.548,57.0,0.239,49.0,58,7,1,3,3,0
Adam Engel,2022,30,CHW,AL,0.3,119,260,245,32,55,13,1,2,17,12,4,11,76,0.224,0.269,0.31,0.579,65.0,0.267,62.0,76,2,4,0,0,1
Cristian Pache,2022,23,OAK,AL,-1.0,91,260,241,18,40,5,2,3,18,2,2,15,70,0.166,0.218,0.241,0.459,35.0,0.214,35.0,58,5,1,3,0,0
TJ Friedl*,2022,26,CIN,NL,0.5,72,258,225,33,54,10,5,8,25,7,2,20,40,0.24,0.314,0.436,0.75,104.0,0.324,96.0,98,3,7,0,6,0
Dylan Moore,2022,29,SEA,AL,1.4,104,255,205,41,46,11,2,6,24,21,8,34,75,0.224,0.368,0.385,0.753,122.0,0.342,124.0,79,5,13,1,1,2
Trayce Thompson,2022,31,2TM,NL,2.1,80,255,219,36,56,14,1,13,41,4,1,32,93,0.256,0.353,0.507,0.86,138.0,0.37,135.0,111,2,2,0,2,0
Trayce Thompson,2022,31,SDP,NL,-0.2,6,16,14,1,1,0,0,0,2,0,1,2,7,0.071,0.188,0.071,0.259,-20.0,0.112,-18.0,1,0,0,0,0,0
Trayce Thompson,2022,31,LAD,NL,2.2,74,239,205,35,55,14,1,13,39,4,0,30,86,0.268,0.364,0.537,0.901,149.0,0.387,145.0,110,2,2,0,2,0
Vimael Machín*,2022,28,OAK,AL,-0.5,73,253,223,26,49,12,0,1,13,1,1,25,47,0.22,0.3,0.287,0.587,75.0,0.277,81.0,64,6,2,0,3,0
Josh Smith*,2022,24,TEX,AL,0.2,73,253,213,23,42,5,0,2,16,4,3,28,50,0.197,0.307,0.249,0.556,61.0,0.259,60.0,53,1,7,2,3,0
LaMonte Wade Jr.*,2022,28,SFG,NL,0.1,77,251,217,29,45,7,1,8,26,1,0,26,51,0.207,0.305,0.359,0.665,89.0,0.299,88.0,78,0,5,2,1,0
Kyle Higashioka,2022,32,NYY,AL,0.6,83,248,229,27,52,7,0,10,31,0,1,12,52,0.227,0.264,0.389,0.653,83.0,0.284,79.0,89,5,1,2,4,0
Danny Jansen,2022,27,TOR,AL,2.9,72,248,215,34,56,10,0,15,44,1,0,25,44,0.26,0.339,0.516,0.855,142.0,0.367,140.0,111,1,3,0,5,1
Matt Duffy,2022,31,LAA,AL,-0.4,77,247,228,14,57,8,0,2,16,0,0,17,50,0.25,0.308,0.311,0.619,77.0,0.279,73.0,71,6,2,0,0,0
Jake Fraley*,2022,27,CIN,NL,0.5,68,247,216,33,56,9,0,12,28,4,1,26,54,0.259,0.344,0.468,0.812,121.0,0.356,120.0,101,1,3,0,2,1
Mitch Haniger,2022,31,SEA,AL,1.2,57,247,224,31,55,8,0,11,34,0,0,20,65,0.246,0.308,0.429,0.736,114.0,0.334,120.0,96,7,1,0,2,1
Jazz Chisholm Jr.*,2022,24,MIA,NL,2.4,60,241,213,39,54,10,4,14,45,12,5,21,66,0.254,0.325,0.535,0.86,138.0,0.364,132.0,114,0,3,0,3,0
Brad Miller*,2022,32,TEX,AL,-1.7,81,241,222,20,47,3,0,7,32,4,2,18,70,0.212,0.27,0.32,0.59,67.0,0.265,63.0,71,3,0,0,1,0
Nick Fortes,2022,25,MIA,NL,1.2,72,240,217,41,50,6,1,9,24,5,3,18,45,0.23,0.304,0.392,0.696,95.0,0.313,98.0,85,5,5,0,0,0
Joey Meneses,2022,30,WSN,NL,1.1,56,240,222,33,72,14,0,13,34,1,0,15,52,0.324,0.367,0.563,0.93,164.0,0.396,161.0,125,13,1,0,2,2
JJ Bleday*,2022,24,MIA,NL,-0.7,65,238,204,21,34,10,2,5,16,4,1,30,67,0.167,0.277,0.309,0.586,66.0,0.268,63.0,63,5,2,0,2,0
Paul DeJong,2022,28,STL,NL,0.3,77,237,210,19,33,9,0,6,25,3,2,21,79,0.157,0.245,0.286,0.53,52.0,0.239,48.0,60,2,4,0,2,0
Ryan Jeffers,2022,25,MIN,AL,0.9,67,236,212,25,44,10,1,7,27,0,0,23,62,0.208,0.285,0.363,0.648,85.0,0.291,84.0,77,6,0,1,0,0
Albert Almora,2022,28,CIN,NL,0.6,64,235,215,26,48,10,1,5,29,3,2,17,46,0.223,0.282,0.349,0.631,73.0,0.284,70.0,75,9,1,1,1,0
Orlando Arcia,2022,27,ATL,NL,0.8,67,234,209,25,51,9,0,9,30,0,0,21,51,0.244,0.316,0.416,0.733,102.0,0.327,104.0,87,7,2,0,2,0
Jordan Luplow,2022,28,ARI,NL,0.0,83,234,205,26,36,5,0,11,28,5,1,25,60,0.176,0.274,0.361,0.634,79.0,0.295,83.0,74,5,3,0,1,1
Didi Gregorius*,2022,32,PHI,NL,-0.4,63,232,214,17,45,9,4,1,19,1,0,13,36,0.21,0.263,0.304,0.567,61.0,0.26,59.0,65,0,3,0,2,0
Calvin Mitchell*,2022,23,PIT,NL,-0.4,69,232,212,21,48,11,0,5,17,3,1,18,52,0.226,0.286,0.349,0.635,80.0,0.291,82.0,74,3,0,1,1,0
P.J. Higgins,2022,29,CHC,NL,-0.2,74,229,201,23,46,11,1,6,30,0,0,22,58,0.229,0.31,0.383,0.693,93.0,0.309,91.0,77,2,2,3,1,0
David Fletcher,2022,28,LAA,AL,1.1,61,228,216,20,55,9,1,2,17,1,0,7,16,0.255,0.288,0.333,0.621,76.0,0.28,72.0,72,6,3,2,0,0
Nick Madrigal,2022,25,CHC,NL,0.6,59,228,209,19,52,7,0,0,7,3,1,14,27,0.249,0.305,0.282,0.588,66.0,0.275,66.0,59,6,3,2,0,0
Garrett Hampson,2022,27,COL,NL,-0.9,90,226,199,29,42,7,3,2,15,12,2,21,63,0.211,0.287,0.307,0.594,61.0,0.275,52.0,61,3,1,3,2,0
Akil Baddoo*,2022,23,DET,AL,0.2,73,225,201,30,41,3,2,2,9,9,6,24,64,0.204,0.289,0.269,0.558,63.0,0.261,66.0,54,2,0,0,0,0
Brett Phillips*,2022,28,2TM,AL,0.2,83,225,201,22,29,6,0,5,15,7,0,16,94,0.144,0.217,0.249,0.466,36.0,0.229,36.0,50,0,3,4,1,0
Brett Phillips*,2022,28,TBR,AL,0.3,75,208,184,21,27,4,0,5,14,7,0,16,85,0.147,0.225,0.25,0.475,39.0,0.236,41.0,46,0,3,4,1,0
Brett Phillips*,2022,28,BAL,AL,-0.1,8,17,17,1,2,2,0,0,1,0,0,0,9,0.118,0.118,0.235,0.353,-2.0,0.148,-18.0,4,0,0,0,0,0
Sergio Alcántara#,2022,25,2TM,NL,-0.1,93,224,205,26,45,8,1,6,29,1,2,12,57,0.22,0.261,0.356,0.617,74.0,0.273,73.0,73,6,1,2,4,0
Sergio Alcántara#,2022,25,ARI,NL,0.1,71,186,170,23,41,8,1,6,26,1,0,10,45,0.241,0.283,0.406,0.688,93.0,0.308,94.0,69,6,1,2,3,0
Sergio Alcántara#,2022,25,SDP,NL,-0.2,22,38,35,3,4,0,0,0,3,0,2,2,12,0.114,0.158,0.114,0.272,-19.0,0.105,-27.0,4,0,0,0,1,0
Jarren Duran*,2022,25,BOS,AL,-0.2,58,223,204,23,45,14,3,3,17,7,1,14,63,0.221,0.283,0.363,0.645,78.0,0.299,79.0,74,1,4,0,1,0
Ildemaro Vargas#,2022,30,2TM,NL,1.5,63,222,209,19,55,13,1,4,23,3,1,8,23,0.263,0.299,0.392,0.691,97.0,0.308,97.0,82,6,3,1,1,0
Ildemaro Vargas#,2022,30,CHC,NL,-0.1,10,26,23,4,3,0,1,1,4,0,0,3,2,0.13,0.231,0.348,0.579,59.0,0.289,77.0,8,1,0,0,0,0
Ildemaro Vargas#,2022,30,WSN,NL,1.6,53,196,186,15,52,13,0,3,19,3,1,5,21,0.28,0.308,0.398,0.706,102.0,0.31,99.0,74,5,3,1,1,0
Kevin Kiermaier*,2022,32,TBR,AL,1.1,63,221,206,28,47,8,0,7,22,6,1,14,61,0.228,0.281,0.369,0.649,88.0,0.299,91.0,76,2,1,0,0,0
Robinson Chirinos,2022,38,BAL,AL,0.1,67,220,195,10,35,9,0,4,22,1,0,19,67,0.179,0.265,0.287,0.552,60.0,0.269,68.0,56,4,4,1,1,0
Ezequiel Durán,2022,23,TEX,AL,0.2,58,220,208,25,49,10,1,5,25,4,1,12,54,0.236,0.277,0.365,0.643,81.0,0.282,74.0,76,3,0,0,0,0
Jonathan Villar#,2022,31,2TM,2LG,-1.3,59,220,202,25,42,6,2,3,18,7,0,15,59,0.208,0.26,0.302,0.562,57.0,0.269,58.0,61,4,0,1,2,0
Jonathan Villar#,2022,31,CHC,NL,-0.8,46,166,153,19,34,6,2,2,15,6,0,11,42,0.222,0.271,0.327,0.598,66.0,0.288,70.0,50,3,0,0,2,0
Jonathan Villar#,2022,31,LAA,AL,-0.5,13,54,49,6,8,0,0,1,3,1,0,4,17,0.163,0.226,0.224,0.451,29.0,0.211,18.0,11,1,0,1,0,0
José Azócar,2022,26,SDP,NL,-0.1,98,216,202,24,52,9,3,0,10,5,6,12,44,0.257,0.298,0.332,0.629,83.0,0.273,81.0,67,6,0,1,1,0
Mitch Garver,2022,31,TEX,AL,0.4,54,215,188,23,39,7,0,10,24,1,1,23,53,0.207,0.298,0.404,0.702,98.0,0.323,106.0,76,3,2,0,2,0
Austin Barnes,2022,32,LAD,NL,0.7,62,212,179,31,38,6,0,8,26,2,1,27,37,0.212,0.324,0.38,0.704,97.0,0.315,97.0,68,5,3,2,1,0
Marwin González#,2022,33,NYY,AL,0.6,85,207,184,20,34,7,0,6,18,3,0,14,54,0.185,0.255,0.321,0.576,63.0,0.273,66.0,59,8,4,3,2,0
Luke Maile,2022,31,CLE,AL,0.7,76,206,181,19,40,10,0,3,17,0,0,19,54,0.221,0.301,0.326,0.627,82.0,0.291,86.0,59,6,3,0,3,0
Nelson Velázquez,2022,23,CHC,NL,-0.6,77,206,185,20,38,7,3,6,26,5,2,19,65,0.205,0.286,0.373,0.659,83.0,0.296,81.0,69,5,2,0,0,0
Brian Serven,2022,27,COL,NL,0.0,62,205,187,19,38,4,1,6,16,0,0,13,44,0.203,0.261,0.332,0.593,59.0,0.273,57.0,62,7,2,2,1,0
Seby Zavala,2022,28,CHW,AL,1.0,61,205,178,22,48,14,0,2,21,0,0,19,64,0.27,0.347,0.382,0.729,108.0,0.329,110.0,68,1,3,3,2,0
Sam Haggerty#,2022,28,SEA,AL,2.2,83,201,176,29,45,9,1,5,23,13,1,18,53,0.256,0.335,0.403,0.738,116.0,0.343,117.0,71,4,4,1,2,3
Cooper Hummel#,2022,27,ARI,NL,-0.5,66,201,176,20,31,8,3,3,17,4,1,23,64,0.176,0.274,0.307,0.58,65.0,0.268,64.0,54,4,1,0,1,0
Sam Hilliard*,2022,28,COL,NL,0.7,70,200,174,26,32,6,1,2,14,5,1,23,57,0.184,0.28,0.264,0.544,48.0,0.268,52.0,46,2,1,0,2,0
Josh Lowe*,2022,24,TBR,AL,0.3,52,198,181,24,40,12,2,2,13,3,0,15,66,0.221,0.284,0.343,0.627,82.0,0.28,78.0,62,1,1,1,0,1
Odúbel Herrera*,2022,30,PHI,NL,0.2,62,197,185,23,44,9,1,5,21,6,0,11,42,0.238,0.279,0.378,0.658,85.0,0.308,89.0,70,3,0,0,1,0
Tommy La Stella*,2022,33,SFG,NL,-0.7,60,195,180,17,43,14,0,2,14,0,0,11,30,0.239,0.282,0.35,0.632,79.0,0.278,74.0,63,4,1,0,3,0
Michael Massey*,2022,24,KCR,AL,0.8,52,194,173,16,42,9,1,4,17,3,0,9,46,0.243,0.307,0.376,0.683,93.0,0.318,98.0,65,1,8,2,2,0
Anthony Rendon,2022,32,LAA,AL,1.0,47,193,166,15,38,10,0,5,24,2,0,23,35,0.229,0.326,0.38,0.706,100.0,0.317,98.0,63,7,2,0,2,0
Yoshi Tsutsugo*,2022,30,PIT,NL,-1.6,50,193,170,11,29,4,0,2,19,0,0,19,50,0.171,0.249,0.229,0.478,37.0,0.225,35.0,39,3,0,0,4,0
Josh VanMeter*,2022,27,PIT,NL,-0.6,67,192,171,15,32,5,2,3,14,4,0,19,45,0.187,0.266,0.292,0.558,59.0,0.256,53.0,50,3,0,0,2,0
