rank,player,year,age,team,league,war,games,plate_appearances,at_bats,runs,hits,doubles,triples,home_runs,runs_batted_in,stolen_bases,caught_stealing,walks,strikeouts,batting_average,on_base_percentage,slugging_percentage,on_base_plus_slugging,on_base_plus_slugging_plus,runs_above_base_average,rbat_plus,total_bases,double_plays,hit_by_puitch,sacrifice_bunts,sacrifice_flies,intentional_walks
463,Steven Souza Jr.,,31,CHC,NL,0,11,31,27,3,4,2,0,1,5,1,0,4,15,0.148,0.258,0.333,0.591,58,0.267,52,9,0,0,0,0,0
464,Erik Kratz,,40,NYY,AL,0.4,16,30,28,2,9,2,0,0,4,0,0,2,6,0.321,0.367,0.393,0.76,113,0.338,113,11,0,0,0,0,0
465,Jake Fraley*,,25,SEA,AL,0,7,29,26,3,4,1,1,0,0,2,1,2,11,0.154,0.241,0.269,0.511,44,0.227,39,7,0,1,0,0,0
466,Jesús Sánchez*,,22,MIA,NL,-0.5,10,29,25,1,1,1,0,0,2,0,0,4,11,0.04,0.172,0.08,0.252,-28,0.14,-32,2,1,0,0,0,0
467,Anthony Alford,,25,2TM,2LG,-0.2,18,29,28,5,6,0,1,2,7,3,0,1,8,0.214,0.241,0.5,0.741,96,0.324,83,14,0,0,0,0,0
467,Anthony Alford,,25,TOR,AL,-0.2,13,16,16,3,3,0,0,1,3,3,0,0,7,0.188,0.188,0.375,0.563,49,0.268,30,6,0,0,0,0,0
467,Anthony Alford,,25,PIT,NL,-0.1,5,13,12,2,3,0,1,1,4,0,0,1,1,0.25,0.308,0.667,0.974,155,0.393,147,8,0,0,0,0,0
468,Yadiel Hernández*,,32,WSN,NL,-0.1,12,28,26,3,5,3,0,1,6,0,0,1,12,0.192,0.214,0.423,0.637,67,0.26,52,11,0,0,0,1,0
469,Jorge Mateo,,25,SDP,NL,-0.4,22,28,26,4,4,3,0,0,2,1,0,1,11,0.154,0.185,0.269,0.454,25,0.205,12,7,1,0,1,0,0
470,Logan Morrison*,,32,MIL,NL,-0.2,9,28,25,3,3,1,0,1,2,0,0,3,8,0.12,0.214,0.28,0.494,31,0.222,23,7,0,0,0,0,0
471,Franklin Barreto,,24,2TM,AL,-0.5,21,28,27,5,2,0,0,0,2,1,0,0,15,0.074,0.107,0.074,0.181,-48,0.099,-63,2,0,1,0,0,0
471,Franklin Barreto,,24,OAK,AL,-0.2,15,10,10,5,0,0,0,0,0,0,0,0,7,0,0,0,0,-100,0,-123,0,0,0,0,0,0
471,Franklin Barreto,,24,LAA,AL,-0.2,6,18,17,0,2,0,0,0,2,1,0,0,8,0.118,0.167,0.118,0.284,-20,0.153,-29,2,0,1,0,0,0
472,Ramón Urías,,26,BAL,AL,0.1,10,27,25,3,9,2,0,1,3,0,0,2,6,0.36,0.407,0.56,0.967,160,0.416,161,14,1,0,0,0,0
473,Tomás Nido,,26,NYM,NL,0.2,7,26,24,4,7,1,0,2,6,0,0,2,6,0.292,0.346,0.583,0.929,150,0.384,143,14,2,0,0,0,0
474,Alejandro Kirk,,21,TOR,AL,0.2,9,25,24,4,9,2,0,1,3,0,0,1,4,0.375,0.4,0.583,0.983,166,0.414,163,14,0,0,0,0,0
475,Matt Thaiss*,,25,LAA,AL,-0.3,8,25,21,3,3,0,0,1,1,0,0,4,8,0.143,0.28,0.286,0.566,56,0.263,56,6,1,0,0,0,0
476,Christian Colón,,31,CIN,NL,-0.4,11,24,23,3,3,1,0,0,2,1,0,1,3,0.13,0.167,0.174,0.341,-11,0.162,-31,4,1,0,0,0,0
477,Daniel Robertson,,26,SFG,NL,0.1,13,24,21,4,7,0,0,0,2,0,0,3,6,0.333,0.417,0.333,0.75,112,0.347,117,7,0,0,0,0,0
478,Beau Taylor*,,30,CLE,AL,-0.2,7,24,21,1,1,0,0,0,2,0,0,2,9,0.048,0.13,0.048,0.178,-48,0.1,-65,1,0,0,1,0,0
479,Meibrys Viloria*,,23,KCR,AL,-0.2,15,24,21,1,4,1,0,0,0,0,0,2,9,0.19,0.292,0.238,0.53,47,0.244,41,5,0,1,0,0,0
480,Sergio Alcántara#,,23,DET,AL,-0.3,10,23,21,2,3,0,1,1,1,0,0,2,4,0.143,0.217,0.381,0.598,60,0.253,51,8,0,0,0,0,0
481,Kyle Garlick,,28,PHI,NL,-0.4,12,23,22,0,3,1,0,0,3,0,0,0,7,0.136,0.174,0.182,0.356,-3,0.203,12,4,0,1,0,0,0
482,Nicky Delmonico*,,27,CHW,AL,-0.4,6,22,20,0,3,0,0,0,3,0,0,2,2,0.15,0.227,0.15,0.377,8,0.186,3,3,2,0,0,0,0
483,Isan Díaz*,,24,MIA,NL,-0.3,7,22,22,3,4,0,0,0,1,0,0,0,7,0.182,0.182,0.182,0.364,-1,0.164,-15,4,0,0,0,0,0
484,Taylor Jones,,26,HOU,AL,-0.3,7,22,21,3,4,1,0,1,3,0,0,1,7,0.19,0.227,0.381,0.608,62,0.259,53,8,2,0,0,0,0
485,Jordy Mercer,,33,2TM,AL,-0.2,9,22,20,2,4,0,0,0,0,0,0,2,2,0.2,0.273,0.2,0.473,35,0.222,31,4,1,0,0,0,0
485,Jordy Mercer,,33,DET,AL,-0.1,3,9,9,1,2,0,0,0,0,0,0,0,1,0.222,0.222,0.222,0.444,23,0.189,6,2,1,0,0,0,0
485,Jordy Mercer,,33,NYY,AL,-0.1,6,13,11,1,2,0,0,0,0,0,0,2,1,0.182,0.308,0.182,0.49,42,0.246,48,2,0,0,0,0,0
486,Sherten Apostel,,21,TEX,AL,-0.5,7,21,20,1,2,1,0,0,0,0,0,1,9,0.1,0.143,0.15,0.293,-19,0.135,-31,3,0,0,0,0,0
487,Lorenzo Cain,,34,MIL,NL,0.2,5,21,18,4,6,1,0,0,2,0,0,3,2,0.333,0.429,0.389,0.817,122,0.357,118,7,1,0,0,0,1
488,Brendan Rodgers,,23,COL,NL,-0.5,7,21,21,1,2,1,0,0,2,0,0,0,6,0.095,0.095,0.143,0.238,-40,0.102,-70,3,0,0,0,0,0
489,Brent Rooker,,25,MIN,AL,0,7,21,19,4,6,2,0,1,5,0,0,0,5,0.316,0.381,0.579,0.96,162,0.409,162,11,0,2,0,0,0
490,Yolmer Sánchez#,,28,CHW,AL,0.3,11,21,16,7,5,3,0,1,1,0,0,5,5,0.313,0.476,0.688,1.164,216,0.48,209,11,1,0,0,0,0
491,Kevin Cron,,27,ARI,NL,-0.4,8,20,17,0,0,0,0,0,0,0,0,1,7,0,0.15,0,0.15,-54,0.109,-53,0,0,2,0,0,0
492,Joe Hudson,,29,SEA,AL,-0.2,9,20,17,0,3,0,0,0,0,0,0,2,5,0.176,0.263,0.176,0.44,28,0.205,18,3,0,0,1,0,0
493,Mark Payton*,,28,CIN,NL,-0.2,8,20,18,0,3,1,0,0,0,1,0,2,5,0.167,0.25,0.222,0.472,25,0.234,17,4,1,0,0,0,0
494,Tyler Stephenson,,23,CIN,NL,0.3,8,20,17,4,5,0,0,2,6,0,0,2,9,0.294,0.4,0.647,1.047,167,0.438,167,11,0,1,0,0,0
495,Eric Haase,,27,DET,AL,-0.1,7,19,17,1,3,0,0,0,2,0,0,1,6,0.176,0.211,0.176,0.387,9,0.226,32,3,0,0,0,1,0
496,Luis Alexander Basabe#,,23,SFG,NL,0.1,9,18,14,5,2,0,0,0,1,2,0,4,5,0.143,0.333,0.143,0.476,39,0.333,90,2,0,0,0,0,0
497,Zack Collins*,,25,CHW,AL,-0.2,9,18,16,1,1,1,0,0,0,0,0,2,5,0.063,0.167,0.125,0.292,-17,0.146,-24,2,0,0,0,0,0
498,Wilmer Difo#,,28,WSN,NL,-0.1,12,18,14,1,1,0,0,0,1,0,0,3,4,0.071,0.222,0.071,0.294,-14,0.167,-11,1,0,0,0,1,0
499,Nick Heath*,,26,KCR,AL,0.1,15,18,13,2,2,1,0,0,3,2,2,2,6,0.154,0.313,0.231,0.543,51,0.232,51,3,0,1,1,0,0
500,Mickey Moniak*,,22,PHI,NL,0.1,8,18,14,3,3,0,0,0,0,0,0,4,6,0.214,0.389,0.214,0.603,70,0.307,84,3,0,0,0,0,0
501,Josh Phegley,,32,CHC,NL,-0.1,11,18,16,4,1,0,0,1,2,0,0,1,3,0.063,0.167,0.25,0.417,11,0.239,37,4,0,1,0,0,0
502,Mason Williams*,,28,BAL,AL,-0.3,10,18,18,0,2,0,1,0,0,0,1,0,9,0.111,0.111,0.222,0.333,-13,0.108,-34,4,0,0,0,0,0
503,Travis Jankowski*,,29,CIN,NL,-0.3,16,17,15,3,1,0,0,0,0,2,1,2,7,0.067,0.176,0.067,0.243,-32,0.133,-42,1,1,0,0,0,0
504,Andrew Knizner,,25,STL,NL,-0.1,8,17,16,1,4,1,0,0,4,0,0,0,5,0.25,0.235,0.313,0.548,50,0.231,38,5,2,0,0,1,0
505,Jake Noll,,26,WSN,NL,-0.1,7,17,17,2,6,1,0,0,0,0,0,0,4,0.353,0.353,0.412,0.765,107,0.326,99,7,1,0,0,0,0
506,Max Schrock*,,25,STL,NL,0,11,17,17,1,3,0,0,1,1,0,0,0,6,0.176,0.176,0.353,0.529,42,0.221,31,6,0,0,0,0,0
507,Willians Astudillo,,28,MIN,AL,0,8,16,16,4,4,1,0,1,3,0,0,0,2,0.25,0.25,0.5,0.75,101,0.313,94,8,0,0,0,0,0
508,Brian Dozier,,33,NYM,NL,-0.4,7,16,15,1,2,0,0,0,0,0,0,1,5,0.133,0.188,0.133,0.321,-9,0.157,-15,2,1,0,0,0,0
509,Erick Mejia#,,25,KCR,AL,-0.4,8,16,14,1,1,1,0,0,0,1,0,0,7,0.071,0.071,0.143,0.214,-44,0.105,-92,2,0,0,1,0,0
510,Jared Oliva,,24,PIT,NL,-0.2,6,16,16,0,3,0,0,0,0,1,0,0,6,0.188,0.188,0.188,0.375,3,0.172,-18,3,0,0,0,0,0
511,Jorge Oña,,23,SDP,NL,0.2,5,15,12,3,3,1,0,1,2,0,0,2,7,0.25,0.4,0.583,0.983,170,0.476,209,7,0,1,0,0,0
512,Brandon Dixon,,28,DET,AL,-0.1,5,14,13,0,1,1,0,0,2,0,0,1,4,0.077,0.143,0.154,0.297,-18,0.138,-30,2,1,0,0,0,0
513,Donovan Walton*,,26,SEA,AL,-0.1,5,14,13,0,2,1,0,0,3,0,1,1,5,0.154,0.214,0.231,0.445,26,0.166,21,3,1,0,0,0,0
514,Abraham Almonte#,,31,SDP,NL,-0.2,7,13,11,0,1,0,0,0,0,1,1,2,4,0.091,0.231,0.091,0.322,-5,0.156,2,1,0,0,0,0,0
515,Yu Chang,,24,CLE,AL,0.1,10,13,11,1,2,0,0,0,1,0,0,2,4,0.182,0.308,0.182,0.49,40,0.238,39,2,2,0,0,0,0
516,Daniel Johnson*,,24,CLE,AL,-0.3,5,13,12,0,1,0,0,0,0,0,0,1,5,0.083,0.154,0.083,0.237,-32,0.075,-89,1,0,0,0,0,1
517,Sean Rodríguez,,35,MIA,NL,-0.3,4,13,13,0,2,0,0,0,0,0,0,0,6,0.154,0.154,0.154,0.308,-16,0.124,-42,2,0,0,0,0,0
518,Jaylin Davis,,25,SFG,NL,-0.2,4,12,12,2,2,0,0,1,1,0,0,0,6,0.167,0.167,0.417,0.583,54,0.238,42,5,0,0,0,0,0
519,Kelvin Gutiérrez,,25,KCR,AL,-0.1,4,12,9,0,1,0,0,0,0,0,0,3,6,0.111,0.333,0.111,0.444,29,0.25,45,1,0,0,0,0,0
520,Derek Hill,,24,DET,AL,-0.2,15,12,11,3,1,0,0,0,0,0,0,1,6,0.091,0.167,0.091,0.258,-26,0.133,-33,1,0,0,0,0,0
521,Ryan Lavarnway,,32,MIA,NL,0,5,11,11,0,4,0,0,0,0,0,0,0,2,0.364,0.364,0.364,0.727,98,0.327,99,4,0,0,0,0,0
522,Dawel Lugo,,25,DET,AL,-0.1,9,11,10,3,2,0,0,0,1,0,0,1,1,0.2,0.273,0.2,0.473,34,0.218,26,2,1,0,0,0,0
523,Jason Martin*,,24,PIT,NL,-0.2,7,11,9,2,0,0,0,0,0,0,0,2,4,0,0.182,0,0.182,-44,0.128,-38,0,0,0,0,0,0
524,César Puello,,29,BOS,AL,0.2,5,11,8,1,3,0,0,0,0,0,0,2,2,0.375,0.5,0.375,0.875,140,0.409,157,3,0,0,1,0,0
525,Harold Ramírez,,25,MIA,NL,-0.1,3,11,10,2,2,0,0,0,1,0,1,1,2,0.2,0.273,0.2,0.473,31,0.181,29,2,0,0,0,0,0
526,Matt Reynolds,,29,KCR,AL,-0.2,3,11,11,1,0,0,0,0,0,0,0,0,7,0,0,0,0,-100,0,-130,0,0,0,0,0,0
527,William Contreras,,22,ATL,NL,0.1,4,10,10,0,4,1,0,0,1,0,0,0,4,0.4,0.4,0.5,0.9,136,0.393,139,5,0,0,0,0,0
528,Ryan Goins*,,32,CHW,AL,-0.2,14,10,9,4,0,0,0,0,0,0,0,1,1,0,0.1,0,0.1,-69,0.07,-79,0,0,0,0,0,0
529,Michael Hermosillo,,25,LAA,AL,0,7,10,8,0,2,0,0,0,2,1,0,1,1,0.25,0.3,0.25,0.55,54,0.264,40,2,0,0,0,1,0
530,Joe McCarthy*,,26,SFG,NL,-0.4,4,10,10,0,0,0,0,0,0,0,0,0,5,0,0,0,0,-100,0,-123,0,0,0,0,0,0
531,Ali Sánchez,,23,NYM,NL,-0.1,5,10,9,0,1,0,0,0,0,0,0,1,3,0.111,0.2,0.111,0.311,-10,0.16,-12,1,2,0,0,0,0
532,Garrett Stubbs*,,27,HOU,AL,-0.2,14,10,8,1,1,0,0,0,1,0,1,0,0,0.125,0.111,0.125,0.236,-35,0.043,-76,1,0,0,1,1,0
533,Yordan Alvarez*,,23,HOU,AL,0.1,2,9,8,2,2,0,0,1,4,0,0,0,1,0.25,0.333,0.625,0.958,153,0.4,151,5,1,1,0,0,0
534,Caleb Joseph,,34,TOR,AL,0,3,9,8,2,1,0,0,1,2,0,0,1,1,0.125,0.222,0.5,0.722,90,0.297,81,4,0,0,0,0,0
535,Rafael Marchán#,,21,PHI,NL,0.2,3,9,8,3,4,0,0,1,3,0,0,1,2,0.5,0.556,0.875,1.431,279,0.596,286,7,0,0,0,0,0
536,Ryan Cordell,,28,NYM,NL,-0.1,5,8,8,0,1,0,0,0,0,1,0,0,3,0.125,0.125,0.125,0.25,-30,0.142,-45,1,0,0,0,0,0
537,Keibert Ruiz#,,21,LAD,NL,0.1,2,8,8,1,2,0,0,1,1,0,0,0,3,0.25,0.25,0.625,0.875,126,0.358,120,5,0,0,0,0,0
538,Charlie Culberson,,31,ATL,NL,-0.1,9,7,7,2,1,1,0,0,1,0,0,0,4,0.143,0.143,0.286,0.429,9,0.176,-11,2,0,0,0,0,0
539,Austin Dean,,26,STL,NL,0,3,7,4,1,1,1,0,0,0,0,0,3,2,0.25,0.571,0.5,1.071,202,0.478,209,2,0,0,0,0,0
540,Adolis García,,27,TEX,AL,0,3,7,6,0,0,0,0,0,0,0,0,1,4,0,0.143,0,0.143,-55,0.1,-55,0,0,0,0,0,0
541,Ryon Healy,,28,MIL,NL,-0.1,4,7,7,0,1,0,0,0,0,0,0,0,2,0.143,0.143,0.143,0.286,-23,0.115,-51,1,0,0,0,0,0
542,Alex Jackson,,24,ATL,NL,0,5,7,7,0,2,1,0,0,0,0,0,0,4,0.286,0.286,0.429,0.714,85,0.305,77,3,1,0,0,0,0
543,Jahmai Jones,,22,LAA,AL,0.1,3,7,7,2,3,0,0,0,1,0,0,0,2,0.429,0.429,0.429,0.857,137,0.513,231,3,0,0,0,0,0
544,Zach McKinstry*,,25,LAD,NL,0,4,7,7,1,2,1,0,0,0,0,0,0,3,0.286,0.286,0.429,0.714,90,0.292,75,3,1,0,0,0,0
545,Nate Orf,,30,OAK,AL,-0.3,6,7,7,1,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,-122,0,0,0,0,0,0
546,Elliot Soto,,30,LAA,AL,0.1,3,7,6,2,2,1,0,0,0,0,0,1,1,0.333,0.429,0.5,0.929,154,0.405,155,3,0,0,0,0,0
547,Ronald Torreyes,,27,PHI,NL,-0.1,4,7,7,1,1,1,0,0,0,0,0,0,0,0.143,0.143,0.286,0.429,12,0.176,-6,2,1,0,0,0,0
548,José Briceño,,27,LAA,AL,0,2,6,5,0,1,0,0,0,0,0,0,1,1,0.2,0.333,0.2,0.533,52,0.266,59,1,0,0,0,0,0
549,Dilson Herrera,,26,BAL,AL,0,3,6,5,0,0,0,0,0,0,0,0,0,4,0,0.167,0,0.167,-48,0.121,-44,0,0,1,0,0,0
550,Hernán Pérez,,29,CHC,NL,-0.1,3,6,6,0,1,0,0,0,0,0,0,0,2,0.167,0.167,0.167,0.333,-9,0.15,-26,1,0,0,0,0,0
551,Joey Rickard,,29,SFG,NL,-0.1,4,6,5,1,0,0,0,0,0,0,0,1,1,0,0.167,0,0.167,-48,0.117,-42,0,0,0,0,0,0
552,Justin Williams*,,24,STL,NL,0,3,6,5,0,1,0,0,0,0,0,0,1,2,0.2,0.333,0.2,0.533,54,0.267,64,1,0,0,0,0,0
553,Seth Brown*,,27,OAK,AL,-0.1,7,5,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,-100,0,-121,0,0,0,0,0,0
554,Brian Navarreto,,25,MIA,NL,0,2,5,5,0,2,0,0,0,0,0,0,0,1,0.4,0.4,0.4,0.8,118,0.36,121,2,0,0,0,0,0
555,Brian O'Grady*,,28,TBR,AL,0.1,2,5,5,2,2,1,0,0,0,1,0,0,1,0.4,0.4,0.6,1,178,0.474,179,3,0,0,0,0,0
556,Yadiel Rivera,,28,TEX,AL,0,4,5,5,0,0,0,0,0,0,1,0,0,1,0,0,0,0,-100,0.227,2,0,0,0,0,0,0
557,Travis Blankenhorn*,,23,MIN,AL,-0.1,1,4,3,0,1,1,0,0,0,0,0,0,0,0.333,0.5,0.667,1.167,221,0.491,218,2,0,1,0,0,0
558,Luis Campusano,,21,SDP,NL,0.1,1,4,3,2,1,0,0,1,1,0,0,0,2,0.333,0.5,1.333,1.833,385,0.673,349,4,0,1,0,0,0
559,Will Craig,,25,PIT,NL,-0.1,2,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,-129,0,0,0,0,0,0
560,Deivy Grullón,,24,BOS,AL,-0.1,1,4,3,0,1,0,0,0,1,0,0,1,1,0.333,0.5,0.333,0.833,130,0.399,145,1,0,0,0,0,0
561,Óscar Hernández,,26,KCR,AL,0,4,4,4,1,2,0,0,0,0,0,0,0,1,0.5,0.5,0.5,1,173,0.449,182,2,1,0,0,0,0
562,John Nogowski,,27,STL,NL,-0.1,1,4,4,0,1,0,0,0,0,0,0,0,1,0.25,0.25,0.25,0.5,40,0.225,33,1,0,0,0,0,0
563,Cristian Pache,,21,ATL,NL,-0.1,2,4,4,0,1,0,0,0,0,0,0,0,2,0.25,0.25,0.25,0.5,33,0.225,20,1,0,0,0,0,0
564,René Rivera,,36,NYM,NL,0.1,2,4,4,0,1,0,0,0,0,0,0,0,3,0.25,0.25,0.25,0.5,39,0.225,33,1,0,0,0,0,0
565,Andrew Romine#,,34,TEX,AL,0,2,4,4,1,1,1,0,0,0,0,0,0,1,0.25,0.25,0.5,0.75,100,0.309,90,2,0,0,0,0,0
566,Andrew Susac,,30,PIT,NL,0,1,4,2,0,0,0,0,0,0,0,0,2,0,0,0.5,0,0.5,55,0.352,118,0,0,0,0,0,0
567,Emilio Bonifácio#,,35,WSN,NL,-0.1,3,3,3,1,0,0,0,0,0,0,1,0,2,0,0,0,0,-100,-0.171,-127,0,0,0,0,0,0
568,Rob Brantly*,,30,SFG,NL,-0.1,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,-124,0,0,0,0,0,0
569,Estevan Florial*,,22,NYY,AL,0,1,3,3,0,1,0,0,0,0,0,0,0,2,0.333,0.333,0.333,0.667,87,0.299,86,1,0,0,0,0,0
570,Billy McKinney*,,25,TOR,AL,0.1,2,3,3,1,2,0,0,0,0,0,0,0,0,0.667,0.667,0.667,1.333,270,0.598,294,2,0,0,0,0,0
571,Luis González*,,24,CHW,AL,0,3,2,1,1,0,0,0,0,0,0,0,0,1,0,0.5,0,0.5,57,0.364,129,0,0,1,0,0,0
572,Eduardo Núñez,,33,NYM,NL,0,2,2,2,0,1,0,0,0,0,1,0,0,0,0.5,0.5,0.5,1,178,0.521,156,1,0,0,0,0,0
573,Patrick Wisdom,,28,CHC,NL,-0.1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,-128,0,0,0,0,0,0
574,Austin Adams,,29,SDP,NL,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,-125,0,0,0,0,0,0
575,Cheslor Cuthbert,,27,CHW,AL,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,-125,0,0,0,0,0,0
576,Tim Hill,,30,SDP,NL,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,-125,0,0,0,0,0,0
577,Michael Lorenzen,,28,CIN,NL,0,6,1,0,2,0,0,0,0,0,0,0,0,0,,1,,,,0.734,383,0,0,1,0,0,0
578,Yermín Mercedes,,27,CHW,AL,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,-125,0,0,0,0,0,0
579,Alec Mills,,28,CHC,NL,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,-133,0,0,0,0,0,0
580,Scott Schebler*,,29,ATL,NL,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,-142,0,0,0,0,0,0
581,Aaron Whitefield,,23,MIN,AL,0.1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,-125,0,0,0,0,0,0
582,Dan Altavilla,,27,SEA,AL,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0
583,Cam Bedrosian,,28,LAA,AL,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0
584,Ryan Brasier,,32,BOS,AL,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0
585,Austin Davis*,,27,PHI,NL,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0
586,Seth Elledge,,24,STL,NL,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0
587,Matt Foster,,25,CHW,AL,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0
588,Tony Gonsolin,,26,LAD,NL,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0
589,Terrance Gore,,29,LAD,NL,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0
590,Chad Green*,,29,NYY,AL,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0
591,Josh Hader*,,26,MIL,NL,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0
592,Kyle Hendricks,,30,CHC,NL,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0
593,Jonathan Holder,,27,NYY,AL,0,1,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0
594,Raisel Iglesias,,30,CIN,NL,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0
595,Jeremy Jeffress,,32,CHC,NL,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0
596,Trevor Kelley,,27,PHI,NL,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0
597,Craig Kimbrel,,32,CHC,NL,0,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0
598,Adam Kolarek*,,31,LAD,NL,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0
599,Juan Lagares,,31,NYM,NL,0.1,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0
600,Travis Lakins Sr.,,26,BAL,AL,0,1,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0
601,Jonathan Lucroy,,34,BOS,AL,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0
602,Mark Melancon,,35,ATL,NL,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0
603,Ian Miller*,,28,CHC,NL,,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0
604,Héctor Neris,,31,PHI,NL,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0
605,Aaron Nola,,27,PHI,NL,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0
606,Emilio Pagán*,,29,SDP,NL,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0
607,Blake Parker,,35,PHI,NL,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0
608,David Phelps,,33,MIL,NL,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0
609,Adam Plutko,,28,CLE,AL,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0
610,Trevor Rosenthal,,30,2TM,2LG,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0
610,Trevor Rosenthal,,30,KCR,AL,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0
610,Trevor Rosenthal,,30,SDP,NL,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0
611,José Ruiz,,25,CHW,AL,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0
612,Matt Strahm,,28,SDP,NL,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0
613,César Valdez,,35,BAL,AL,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0
614,Marcus Walden,,31,BOS,AL,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0
615,Rowan Wick*,,27,CHC,NL,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0
616,Taylor Williams#,,28,SEA,AL,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0
617,Dan Winkler,,30,CHC,NL,0,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0
618,Jake Woodford,,23,STL,NL,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0
