rank,player,year,age,team,league,war,games,plate_appearances,at_bats,runs,hits,doubles,triples,home_runs,runs_batted_in,stolen_bases,caught_stealing,walks,strikeouts,batting_average,on_base_percentage,slugging_percentage,on_base_plus_slugging,on_base_plus_slugging_plus,runs_above_base_average,rbat_plus,total_bases,double_plays,hit_by_puitch,sacrifice_bunts,sacrifice_flies,intentional_walks
307,Cameron Maybin,,33,2TM,2LG,0,32,101,93,8,23,8,1,1,7,3,0,7,25,0.247,0.307,0.387,0.694,88,0.316,88,36,4,1,0,0,0
307,Cameron Maybin,,33,DET,AL,-0.1,14,45,41,5,10,4,0,1,2,0,0,4,13,0.244,0.311,0.415,0.726,98,0.313,93,17,3,0,0,0,0
307,Cameron Maybin,,33,CHC,NL,0.1,18,56,52,3,13,4,1,0,5,3,0,3,12,0.25,0.304,0.365,0.669,80,0.319,84,19,1,1,0,0,0
308,Jorge Alfaro,,27,MIA,NL,-0.4,31,100,93,12,21,2,0,3,16,2,0,4,36,0.226,0.28,0.344,0.624,68,0.276,59,32,2,3,0,0,1
309,Howie Kendrick,,36,WSN,NL,-0.2,25,100,91,11,25,4,0,2,14,0,0,7,17,0.275,0.32,0.385,0.705,91,0.299,79,35,4,0,0,2,2
310,Darin Ruf,,33,SFG,NL,0.8,40,100,87,11,24,6,0,5,18,1,0,13,23,0.276,0.37,0.517,0.887,142,0.4,153,45,1,0,0,0,0
311,David Dahl*,,26,COL,NL,-1,24,99,93,9,17,2,2,0,9,1,0,4,28,0.183,0.222,0.247,0.47,20,0.221,11,23,0,1,0,1,0
312,Khris Davis,,32,OAK,AL,-0.3,30,99,85,9,17,5,0,2,10,0,0,10,26,0.2,0.303,0.329,0.632,78,0.284,76,28,5,3,0,1,0
313,Christin Stewart*,,26,DET,AL,-0.6,36,99,90,6,15,3,0,3,9,0,0,5,30,0.167,0.224,0.3,0.524,43,0.23,34,27,2,2,0,1,0
314,Michael A. Taylor,,29,WSN,NL,-0.4,38,99,92,11,18,6,0,5,16,0,0,6,27,0.196,0.253,0.424,0.676,79,0.283,69,39,2,1,0,0,0
